Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Furqon A., Gunawan A., Ulupi N., Suryati T., Sumantri C.","Expression and association of SCD gene polymorphisms and fatty acid compositions in chicken cross",2017,"Media Peternakan","40","3",,"151","157",,,10.5398/medpet.2017.40.3.151,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039553216&doi=10.5398%2fmedpet.2017.40.3.151&partnerID=40&md5=bf788710436aa13cb1dbf1a9b311d957","Graduate School of Bogor Agricultural University, Indonesia; Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Darmaga Campus, Bogor, Indonesia; Research Center for Bioresources and Biotechnology, Bogor Agricultural University Jalan Kamper, Darmaga Campus, Bogor, Indonesia","Furqon, A., Graduate School of Bogor Agricultural University, Indonesia; Gunawan, A., Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Darmaga Campus, Bogor, Indonesia; Ulupi, N., Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Darmaga Campus, Bogor, Indonesia; Suryati, T., Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Darmaga Campus, Bogor, Indonesia; Sumantri, C., Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Darmaga Campus, Bogor, Indonesia, Research Center for Bioresources and Biotechnology, Bogor Agricultural University Jalan Kamper, Darmaga Campus, Bogor, Indonesia","Stearoyl-CoA desaturase (SCD) is an integral membrane protein of endoplasmic reticulum (ER) that catalyzes the rate limiting step in the monounsaturated fatty acids from saturated fatty acids. Selection for fatty acids traits based on molecular marker assisted selection is needed to increase a value of chicken meat. This study was designed to analyze expression and associations of SCD gene polymorphisms with fatty acid traits in F2 kampung-broiler chicken cross. A total of 62 F2 kampung-broiler chicken cross (29 males and 33 females) were used in this study. Fatty acid traits were measured at 26 weeks of age. Samples were divided into two groups based on fatty acid traits (the highest and the lowest). Primers in exon 2 region were designed from the genomic chicken sequence. The SNP g.37284A>G was detected and polymerase chain reaction-restriction fragment length polymorphism (PCR-RFLP) method was then used to genotype. The expression of SCD gene was analyzed using quantitative real time PCR (qRT-PCR). The result showed that there were three genotypes (AA, AG, and GG) found in this study. The SCD|AciI polymorphism was significantly associated with palmitoleic acid (C16:1), fatty acids total and saturated fatty acid in 26 weeks old of F2 kampung-broiler chicken cross (P < 0.05). The SCD gene was expressed for polyunsaturated fatty acids in liver tissue in two groups of chickens. In conclusion, the SCD gene could be a candidate gene that affects fatty acids traits in F2 kampung-broiler chicken cross.","Expression; Fatty acid; Kampung-broiler chicken cross; Polymorphism; SCD gene",,"Sumantri, C.; Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Darmaga CampusIndonesia; email: csumantri12@gmail.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85039553216
"Masyitah, Arief I.I., Suryati T.","Characteristics of sie reuboh supplemented with different combinations of palm vinegar (Arenga pinnata) and kaffir lime leaves (Citrus hystrix)",2017,"Media Peternakan","40","3",,"202","209",,,10.5398/medpet.2017.40.3.202,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039553867&doi=10.5398%2fmedpet.2017.40.3.202&partnerID=40&md5=9d16f42d30c3f892ef94821b3ff6070b","Study Program of Animal Production and Technology, Graduate School, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia; Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia","Masyitah, Study Program of Animal Production and Technology, Graduate School, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia; Arief, I.I., Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia; Suryati, T., Study Program of Animal Production and Technology, Graduate School, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia","This research was aimed to analyze the characteristics of sie reuboh processed with the addition of palm vinegar and kaffir lime leaves with different concentrations to produce sie reuboh with a good quality and to maintain the stability of its quality during storage at room temperature. The research consisted of 2 stages. In the first stage, 4000 g of sie reuboh was treated with different doses of palm vinegar and kaffir lime leaves (0 mL and 0 g, 100 mL and 10 g, 120 mL and 20 g, and 140 mL and 30 g) for microbiological analysis. Sie reuboh with the best result of microbiological analysis was later used in Stage 2 to be stored at room temperature and was analyzed for its physical antioxidant activity, thiobarbituric acid reactive substance (TBARS), and microbiological analysis. The result showed that different levels of palm vinegar and kaffir lime leaves did not significantly affect the aw, pH, yield, and microbiological characteristics of the sie reuboh. Different ratios of palm vinegar and kaffir lime leaves significantly affected (P &lt; 0.05) the tenderness of sie reuboh. Sie reuboh without addition of palm vinegar and kaffir lime leaves showed a better tenderness than sie reuboh added with palm vinegar and kaffir lime leaves. The best treatment based on microbiological analysis was shown by treatment of sie reuboh with 120 mL of palm vinegar and 20 g of kaffir lime leaves and this sie reuboh was later used to test the stability of the sie reuboh when it was stored at room temperature. The results showed that sie reuboh produced by addition of 120 mL of palm vinegar and 20 g of kaffir lime leaves demonstrated antioxidant activity for inhibition of free radicals as was indicated by the stability of TBARS value during 9 days of storage at room temperature. This combination of treatment could also effectively stabilize the quality of sie reuboh, as indicated by a proper storability at maximum limit of total plate count and mold growth until 3 days of storage at room temperature.","Kaffir lime leaves; Palm vinegar; Sie reuboh; Storage room temperature",,"Masyitah; Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB DarmagaIndonesia; email: masyitah3181@gmail.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85039553867
"Jayanegara A., Ridla M., Astuti D.A., Wiryawan K.G., Laconi E.B., Nahrowi","Determination of energy and protein requirements of sheep in Indonesia using a meta-analytical approach",2017,"Media Peternakan","40","2",,"118","127",,,10.5398/medpet.2017.40.2.118,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028023402&doi=10.5398%2fmedpet.2017.40.2.118&partnerID=40&md5=2adab72d326d348d353d2bc8199df308","Department of Animal Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Kampus IPB Darmaga, Bogor, Indonesia","Jayanegara, A., Department of Animal Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Kampus IPB Darmaga, Bogor, Indonesia; Ridla, M., Department of Animal Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Kampus IPB Darmaga, Bogor, Indonesia; Astuti, D.A., Department of Animal Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Kampus IPB Darmaga, Bogor, Indonesia; Wiryawan, K.G., Department of Animal Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Kampus IPB Darmaga, Bogor, Indonesia; Laconi, E.B., Department of Animal Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Kampus IPB Darmaga, Bogor, Indonesia; Nahrowi, Department of Animal Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Kampus IPB Darmaga, Bogor, Indonesia","The objective of this study was to determine energy and protein requirements, for both maintenance and gain, of sheep in Indonesia by using a meta-analysis method. A database was developed from various in vivo experiments involving sheep as the experimental animals in which energy intake, protein intake and average daily weight gain (ADG) were reported. A total of 38 articles consisting of 137 data points were integrated into the database. Different breeds (Priangan, fat-tailed and local) and sexes (male and female) were specified in the database. Maintenance and gain requirements of dry matter, energy and protein were determined by regressing ADG with dry matter intake (DMI), total digestible nutrient intake (TDNI) and crude protein intake (CPI), respectively. An intercept (where ADG= 0 g/kg MBW/d) and a slope (required nutrient intake per unit ADG) were taken as maintenance and gain requirements, respectively. Results revealed that all sheep breeds had similar energy requirement for maintenance (TDNm). Energy requirement for gain (TDNg) of Priangan breed was lower than other breeds; the breed required 0.860 g TDN for 1 g ADG. Fat-tailed and local breeds required 1.22 and 2.75 g TDN for 1 g ADG, respectively. All breeds also revealed relatively similar protein requirement for maintenance (CPm), i.e. 6.27-6.47 g/kg MBW/d. Priangan breed required less CP for 1 g ADG (CPg), i.e. 0.295 g. Requirements of CPg for fat-tailed and local breeds were 0.336 and 0.497 g/g ADG, respectively. It was concluded that each sheep breed in Indonesia had specific TDN and CP requirements for gain, but similar requirements for maintenance.","Energy; Meta-analysis; Nutrient requirement; Protein; Sheep",,"Jayanegara, A.; Department of Animal Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Kampus IPB DarmagaIndonesia; email: anuraga.jayanegara@gmail.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85028023402
"Rayani T.F., Mutia R., Sumiati","Supplementation of zinc and vitamin E on apparent digestibility of nutrient, carcass traits, and mineral availability in broiler chickens",2017,"Media Peternakan","40","1",,"20","27",,,10.5398/medpet.2017.40.1.20,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018338146&doi=10.5398%2fmedpet.2017.40.1.20&partnerID=40&md5=6a52a04c5e8f206f1cde4b09e27fc04a","Study Program of Nutrition and Feed Science, Faculty of Animal Science, Graduate School, Bogor Agricultural University, Indonesia; Department of Nutrition and Feed Science, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia","Rayani, T.F., Study Program of Nutrition and Feed Science, Faculty of Animal Science, Graduate School, Bogor Agricultural University, Indonesia; Mutia, R., Department of Nutrition and Feed Science, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia; Sumiati, Department of Nutrition and Feed Science, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia","The purpose of this study was to determine the effect of zinc (Zn) and vitamin E supplementations on apparent nutrient digestibility, carcass traits, and mineral availability of broiler in tropical environment. The experiment was arranged in a 3 x 3 factorial design with 4 replications in each treatment (10 birds each). The dietary treatments were the combination of doses of zinc (A1: 0 ppm, A2: 40 ppm, A3: 80 ppm) and vitamin E (B1: 0 ppm, B2: 125 ppm, B3: 250 ppm) supplementations. The variables observed were apparent nutrient digestibilities (apparent crude protein digestibility and apparent ether extract digestibility), carcass traits (final weight, the percentage of carcass weight, breast weight, thigh weight, wings weight, and back weight), meat bone ratio and mineral availability in the tibia (calcium [Ca], phosphorus [P], and zinc [Zn]). The results showed that apparent nutrient digestibility, carcass traits (the percentages of carcass, breast, thighs, wings, and back), meat bone ratio were not significantly influenced by the supplementation of zinc or vitamin E. The supplementation of 80 ppm of Zn and 0 ppm of vitamin E significantly (P < 0.05) increased final weight of broiler. Supplementation of zinc alone and vitamin E alone in the diet significantly (P < 0.05) increased calcium content of the tibia. In conclusion, supplementation of 80 ppm of Zn increased calcium content compared to control, but did not affect final weight and ether-extract digestibility. Supplementation of vitamin E at a dose of 125 ppm could increase calcium content of the tibia compared to control.","Broiler; Vitamin E; Zinc",,"Mutia, R.; Department of Nutrition and Feed Science, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB DarmagaIndonesia; email: rmutia.1@gmail.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85018338146
"Resti Y., Baars R., Verschuur M., Duteurtre G.","The role of cooperative in the milk value chain in west bandung regency, West Java Province",2017,"Media Peternakan","40","3",,"210","217",,,10.5398/medpet.2017.40.3.210,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039546691&doi=10.5398%2fmedpet.2017.40.3.210&partnerID=40&md5=4d9a2c2e97ad1d6d690396007e1c5f1e","Diploma Program of Bogor Agricultural University, Jalan Kumbang No. 14, Bogor, Indonesia; Van Hall Larenstein University of Applied Sciences, PO Box 9001, Velp, Netherlands; UMR SELMET CIRAD-INRA-SUPAGRO, Campus International de Baillarguet, Montpellier Cedex 5, France","Resti, Y., Diploma Program of Bogor Agricultural University, Jalan Kumbang No. 14, Bogor, Indonesia; Baars, R., Van Hall Larenstein University of Applied Sciences, PO Box 9001, Velp, Netherlands; Verschuur, M., Van Hall Larenstein University of Applied Sciences, PO Box 9001, Velp, Netherlands; Duteurtre, G., UMR SELMET CIRAD-INRA-SUPAGRO, Campus International de Baillarguet, Montpellier Cedex 5, France","The objective of the study was to evaluate the capacity of Northern Bandung Dairy Farmer Cooperative (KPSBU) to support farmers in producing good quality milk within the milk value chain in West Bandung Regency, West Java. The study used qualitative research strategies including desk study, case study, and focus group discussions. The study compared the involvement of three milk collecting actors that were classified into large cooperative (KPSBU), small cooperative (KUD Puspa Mekar), and private company (Bina Kitri Bersama). A total of 18 dairy farmers, 3 milk collecting actors, 2 milk processors, and one livestock officer were interviewed. Three focus group discussions were conducted. The large cooperative performed better in services, milk collection, and milk quality assessment compared to other milk collecting actors. Members' commitment, inconsistent milk quality, and shortage of good quality fodder were the hindering factors that influenced the collection of good quality milk in the large cooperative. In conclusion, the large cooperative had better performance in service provision, it also had better infrastructures in milk collection and milk quality assessment compared to other milk collecting actors. Increasing the milk quality standard by milk processing companies affected the milk price since 2000.","Cooperative; Dairy farmer; Milk quality; Milk value chain; Value chain governance",,"Resti, Y.; Diploma Program of Bogor Agricultural University, Jalan Kumbang No. 14, Indonesia; email: iyhest@gmail.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85039546691
"Kumalasari N.R., Wicaksono G.P., Abdullah L.","Plant growth pattern, forage yield, and quality of indigofera zollingeriana influenced by row spacing",2017,"Media Peternakan","40","1",,"14","19",,,10.5398/medpet.2017.40.1.14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018241669&doi=10.5398%2fmedpet.2017.40.1.14&partnerID=40&md5=55ca3018ffcfe0504d9e7d9ce67b5fa3","Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia","Kumalasari, N.R., Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia; Wicaksono, G.P., Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia; Abdullah, L., Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia","Indigofera zollingeriana is one of legumes has a great potential to be used as an animal feed having high quality nutrients and is tolerant to different environmental conditions. The objective of this experiment was to study the effect of different row spacings between individual plants on growth pattern, forage yield, and quality of I. zollingeriana. Field experiment was conducted at Field Laboratory of Agrostology, Faculty of Animal Science Bogor Agricultural University, during the growing season of 2015/2016. The 4 spacings levels used were 1 x 1.5 m; 1 x 1 m; 1 x 0.75 m; and 1 x 0.5 m. The treatment was arranged in a completely randomized block design, with 4 replicates. Variables in this research were plant height, number of leaves, number of branches, plant population for each plot, fresh and dry matter yields, and forage quality. The results showed that narrow plant spacing increased plant height, plant population, fresh and dry weights, dry matter yields, as well as NDF and β-carotene contents. The wider the plant spacing the greater the number of branches and leaves per plant. It was concluded that increasing plant population by narrowing plant spacing remained the most effective way to increase Indigofera forage yield without negative effects of it on nutritive values, i.e., crude protein, crude fat, crude fiber, ADF, and TDN.","Beta- caroten; Indigofera; Nutritive value; Plant growth; Row spacing",,"Kumalasari, N.R.; Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB DarmagaIndonesia; email: nurrkumala@gmail.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85018241669
"Wiryawan K.G., Saefudin A., Fuah A.M., Priyanto R., Khotijah L., Suharti S.","Fermentation characteristics and nitrogen retention of madura cattle fed complete rations containing soybean pod and by-products",2017,"Media Peternakan","40","1",,"28","34",,,10.5398/medpet.2017.40.1.28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018332980&doi=10.5398%2fmedpet.2017.40.1.28&partnerID=40&md5=10a1bd3207759d09b6da94c25a4b0563","Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University, Indonesia; Department of Animal Production Technology, Faculty of Animal Science, Bogor Agricultural University, Jalan Agatis Kampus Fapet IPB Darmaga, Bogor, West Java, Indonesia","Wiryawan, K.G., Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University, Indonesia; Saefudin, A., Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University, Indonesia; Fuah, A.M., Department of Animal Production Technology, Faculty of Animal Science, Bogor Agricultural University, Jalan Agatis Kampus Fapet IPB Darmaga, Bogor, West Java, Indonesia; Priyanto, R., Department of Animal Production Technology, Faculty of Animal Science, Bogor Agricultural University, Jalan Agatis Kampus Fapet IPB Darmaga, Bogor, West Java, Indonesia; Khotijah, L., Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University, Indonesia; Suharti, S., Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural University, Indonesia","This study was aimed to evaluate the effect of complete rations containing soybean pod and soybean by-products (soybean meal and tofu waste) on rumen microbial population, fermentation characteristics, nutrient digestibility, and nitrogen retention of Madura cattle. Twelve Madura cattle of 1.5 years of age were given 4 feeding treatments in triplicates in randomized block design experiment. The treatments included T0 (100% native grass) as a negative control, T1 (concentrate: grass (60:40) as a positive control, T2 (complete ration containing 15% soybean pods), and T3 (complete ration containing 30% soybean pods). The treatments were based on feeding practices commonly applied by farmers in the village. The results showed that the use of concentrate rations or complete rations containing soybean pod and by-product did not affect protozoa population, ammonia concentration, and total VFA production compared to cattle fed 100% native grass. In contrast, the use of concentrate rations or complete rations containing soybean pod and by-products reduced acetate and increased butyrate proportion compared to native grass. The use of a concentrate ration resulted the highest propionate proportion. Methane estimation increased with the use of concentrate ration or complete ration containing 15% soybean pod, but it decreased when the level of soybean pod was increased to 30%. It can be concluded that soybean pod has a potential to be used as a fiber source in beef cattle ration to substitute native grass.","Madura cattle; Nitrogen retention; Nutrient digestibility; Rumen fermentation; Soybean pod",,"Suharti, S.; Department of Nutrition and Feed Technology, Faculty of Animal Science, Bogor Agricultural UniversityIndonesia; email: harti_ss@yahoo.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85018332980
"Burhan H., Priyambada S.A., Taufik E., Arief I.I.","Potential of lactic acid bacteria isolated from Dangke and Indonesian beef as hypocholesterolaemic agent",2017,"Media Peternakan","40","2",,"136","142",,,10.5398/medpet.2017.40.2.136,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027994316&doi=10.5398%2fmedpet.2017.40.2.136&partnerID=40&md5=97a9e1bc98e2c83565b96ac4e6a2e449","Study Program of Animal Production and Technology, Faculty of Animal Science, Graduate School, Bogor Agricultural University, 2-1 Yamada-oka, Suita, Osaka, Japan; Laboratory of Applied Microbiology, International Center for Biotechnology, Osaka University, 2-1 Yamada-oka, Suita, Osaka, Japan; Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University, IPB Darmaga Campus, Jalan Agatis, Bogor, Indonesia","Burhan, H., Study Program of Animal Production and Technology, Faculty of Animal Science, Graduate School, Bogor Agricultural University, 2-1 Yamada-oka, Suita, Osaka, Japan; Priyambada, S.A., Laboratory of Applied Microbiology, International Center for Biotechnology, Osaka University, 2-1 Yamada-oka, Suita, Osaka, Japan; Taufik, E., Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University, IPB Darmaga Campus, Jalan Agatis, Bogor, Indonesia; Arief, I.I., Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University, IPB Darmaga Campus, Jalan Agatis, Bogor, Indonesia","Lactobacillus fermentum strains were successfully isolated from dangke which was a fresh cheese-like product originating from Enrekang, South Sulawesi Province, Indonesia. In addition, Lactobacillus plantarum and Lactobacillus acidophillus were isolated from beef. This study aimed to investigate the ability of those 8 LAB strains from dangke and beef in lowering cholesterol level by using in vitro study. Strain of Lactic acid bacteria used were L. fermentum strains (A323L, B111K, B323K, C113L, C212L), L. plantarum strains (IIA-1A5 and IIA-2C12), and L. acidophillus IIA-2B4. Variables observed were identification of Bile Salt Hydrolase (BSH) gene by Polymerase Chain Reaction (PCR), BSH activity and cholesterol assimilation. Phylogenetic tree indicated homology of L. plantarum IIA-IA5 was 98% to BSH gene of L. plantarum Lp529 with access code of FJ439771 and FJ439775 obtained from GenBank. The results demonstrated that eight strains of LAB isolated from dangke and beef that potentially showed cholesterol-lowering effects were L. fermentum B111K and L. plantarum IIA-1A5. L. fermentum B111K was able to assimilate cholesterol by 4.10% with assimilated cholesterol of 0.13 mg in 1010 cells. In addition, L. plantarum IIA-1A5 had BSH gene and BSH activity, as well as the ability to assimilate cholesterol by 8.10% with assimilated cholesterol of 0.06 mg in 1010 cells. It is concluded that L. fermentum B111K and L. plantarum IIA-1A5 were strains that showed cholesterol-lowering effects.","Assimilation; Bile salt hydrolase; Cholesterol; Dangke; Lactic acid bacteria",,"Arief, I.I.; Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University, IPB Darmaga Campus, Jalan Agatis, Indonesia; email: irma_isnafia@yahoo.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85027994316
"Manihuruk F.M., Suryati T., Arief I.I.","Effectiveness of the red dragon fruit (Hylocereus polyrhizus) peel extract as the colorant, antioxidant, and antimicrobial on beef sausage",2017,"Media Peternakan","40","1",,"47","54",,1,10.5398/medpet.2017.40.1.47,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018259391&doi=10.5398%2fmedpet.2017.40.1.47&partnerID=40&md5=24af709ddc6df5597b4c480eda885757","Study Program of Animal Production and Technology, Faculty of Animal Science, Graduate School, Bogor Agricultural University, Indonesia; Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia","Manihuruk, F.M., Study Program of Animal Production and Technology, Faculty of Animal Science, Graduate School, Bogor Agricultural University, Indonesia; Suryati, T., Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia; Arief, I.I., Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB Darmaga, Bogor, Indonesia","This study aimed to evaluate the effectiveness of red dragon fruit (Hylocereus polyrhizus) peel extracts addition on beef sausages. Red dragon fruit peel extracts were obtained by maceration using solvent at pH 5. Phytochemical characteristics, total phenols, antioxidant, and antimicrobial activity of the peel extracts were observed. Antioxidant and antimicrobial activities of the extracts were associated with high phytochemical compounds and total phenols contained in the extracts. Red dragon fruit peel extracts with various percentages (0%, 20%, 30%, and 40%) were added on beef sausages, and their physicochemical characteristics, nutrients, antioxidant activity, and microbiological profile were analyzed. The data were analyzed using analysis of variance and Duncan's multiple range test. Results showed that the addition of red dragon fruit peel extracts significantly reduced texture values, but increased intensity of luminosity, intensity of red color, and intensity of yellow color (P < 0.05) beef sausages. It could be concluded that red dragon fruit peel extract containing phytochemical compounds was effective as an antibacterial agent and natural antioxidant. The addition of red dragon fruit peel extracts was effective in increasing the antioxidant activity and decreasing TBARS values. The addition of red dragon fruit peel extract did not affect the reddish colorization of beef sausages, but it was capable of increasing the yellowish colorization on beef sausage.","Antimicrobial; Antioxidant; Beef sausage; Red dragon fruit peel extract",,"Arief, I.I.; Department of Animal Production and Technology, Faculty of Animal Science, Bogor Agricultural University Jalan Agatis, Kampus IPB DarmagaIndonesia; email: irmaisnafia@gmail.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85018259391
"Asmara A., Purnamadewi Y.L., Lubis D.","The relationship analysis between service performances of Milk Producer Cooperative with the dairy farm performance of members",2017,"Media Peternakan","40","2",,"143","150",,,10.5398/medpet.2017.40.2.143,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027993005&doi=10.5398%2fmedpet.2017.40.2.143&partnerID=40&md5=efa338296497424d8a1b9c7d5b75fdaa","Department of Economics, Faculty of Economics and Management, Bogor Agricultural University, Kampus IPB Darmaga, Bogor, Indonesia; Department of Sharia Economics, Faculty of Economics and Management, Bogor Agricultural University, Kampus IPB Darmaga, Bogor, Indonesia","Asmara, A., Department of Economics, Faculty of Economics and Management, Bogor Agricultural University, Kampus IPB Darmaga, Bogor, Indonesia; Purnamadewi, Y.L., Department of Economics, Faculty of Economics and Management, Bogor Agricultural University, Kampus IPB Darmaga, Bogor, Indonesia; Lubis, D., Department of Sharia Economics, Faculty of Economics and Management, Bogor Agricultural University, Kampus IPB Darmaga, Bogor, Indonesia","The main objective of Milk Producers Cooperative (MPC) is to provide services to the members and improve the performance of dairy farm of MPC members. The purposes of this study were: (1) to analyze dairy farm performance of MPC members, (2) to analyze performance of MPC services, and (3) to analyze the relationship between service performance of MPC with dairy farm performance of MPC members. The main data used were primary data. The analytical methods used included: descriptive analysis, profit analysis and R/C Ratio, and Chi-Square. The study showed that productivity and profitability of large-scale dairy farm was higher than small-scale. The performance of small-scale dairy farm of MPC members was relatively low both in terms of productivity and profitability. Most members judged that the performance of MPC services was good. There was a positive relationship between the MPC service performance (milk marketing, finance, technical assistance, and education/training) with the performance of dairy farm of MPC members. Coaching and more intensive services should continue to be given by the MPC to the members, especially the members with the small-scale dairy farms.","Dairy farm; Milk producerscooperative; Service performance",,"Asmara, A.; Department of Economics, Faculty of Economics and Management, Bogor Agricultural University, Kampus IPB DarmagaIndonesia; email: allaasmara@yahoo.com",,"Bogor Agricultural University",01260472,,,,"English","Media Peternakan",Article,,Scopus,2-s2.0-85027993005
