Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Cardarilli G.C., Di Nunzio L., Fazzolari R., Re M., Silvestri F., Spanò S.","Energy consumption saving in embedded microprocessors using hardware accelerators",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","3",,"1019","1026",,,10.12928/TELKOMNIKA.v16i3.9387,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045467968&doi=10.12928%2fTELKOMNIKA.v16i3.9387&partnerID=40&md5=19c15d8e949860e6abb0c882afd5c9e3","University of Rome Tor Vergata, Via del Politecnico 1, Rome, Italy","Cardarilli, G.C., University of Rome Tor Vergata, Via del Politecnico 1, Rome, Italy; Di Nunzio, L., University of Rome Tor Vergata, Via del Politecnico 1, Rome, Italy; Fazzolari, R., University of Rome Tor Vergata, Via del Politecnico 1, Rome, Italy; Re, M., University of Rome Tor Vergata, Via del Politecnico 1, Rome, Italy; Silvestri, F., University of Rome Tor Vergata, Via del Politecnico 1, Rome, Italy; Spanò, S., University of Rome Tor Vergata, Via del Politecnico 1, Rome, Italy","This paper deals with the reduction of power consumption in embedded microprocessors. Computing power and energy efficiency are becoming the main challenges for embedded system applications. This is, in particular, the caseof wearable systems. When the power supply is provided by batteries, an important requirement for these systems is the long service life. This work investigates a method for the reduction of microprocessor energy consumption, based on the use of hardware accelerators. Their use allows to reduce the execution time and to decrease the clock frequency, so reducing the power consumption. In order to provide experimental results, authors analyze a case of study in the field of wearable devices for the processing of ECG signals. The experimental results show that the use of hardware accelerator significantly reduces the power consumption. © 2018 Universitas Ahmad Dahlan.","Embedded systems; Hardware accelerator; Low power architectures",,"Di Nunzio, L.; University of Rome Tor Vergata, Via del Politecnico 1, Italy; email: di.nunzio@ing.uniroma2.it",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85045467968
"Sapiee M.R.M., Annuar K.A.M.","Synchronous mobile Robots formation control",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","3",,"1183","1192",,,10.12928/TELKOMNIKA.v16i3.8397,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047728203&doi=10.12928%2fTELKOMNIKA.v16i3.8397&partnerID=40&md5=e73b20b412f66d9f2be60c455becb895","Faculty of Engineering Technology, Universiti Teknikal Malaysia Melaka, Hang Tuah Jaya, Durian Tunggal, Melaka, Malaysia","Sapiee, M.R.M., Faculty of Engineering Technology, Universiti Teknikal Malaysia Melaka, Hang Tuah Jaya, Durian Tunggal, Melaka, Malaysia; Annuar, K.A.M., Faculty of Engineering Technology, Universiti Teknikal Malaysia Melaka, Hang Tuah Jaya, Durian Tunggal, Melaka, Malaysia","Synchronous mobile robots formation control is one of the most challenging and interesting fields in robotics. The mobile robots communicate with each other through wireless communication to perform similar movement. This study analyzed two mobile robots that can perform synchronous movement along a shaped path. A square shape is set as a path for the mobile robot movements. The front robot being the leading robot transmits the instruction of its movement to the robot behind it, acting as the following robot through a wireless communication. The instruction sent by the leading robot is received by the following robot through a program embedded in the leading robot microcontroller which then drives the following robot to move and imitates the movement of the leading. The algorithm for the movement is tested on the hardware and the results of the experiment are included to verify the effectiveness of the proposed method. © 2018 Universitas Ahmad Dahlan.","Autonomous formation control; Mobile robot; Robot navigation; Wireless",,"Annuar, K.A.M.; Faculty of Engineering Technology, Universiti Teknikal Malaysia Melaka, Hang Tuah Jaya, Malaysia; email: khalilazha@utem.edu.my",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85047728203
"Listyorini T., Rochman S., Meimaharani R.","Three dimensional animation of how to breed rabbit",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","3",,"1309","1316",,,10.12928/TELKOMNIKA.v16i3.7576,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046164053&doi=10.12928%2fTELKOMNIKA.v16i3.7576&partnerID=40&md5=f53b556787831f40cff22258cc7d915d","Universitas Muria Kudus, Gondang Manis PO BOX 53, Bae Kudus, Indonesia","Listyorini, T., Universitas Muria Kudus, Gondang Manis PO BOX 53, Bae Kudus, Indonesia; Rochman, S., Universitas Muria Kudus, Gondang Manis PO BOX 53, Bae Kudus, Indonesia; Meimaharani, R., Universitas Muria Kudus, Gondang Manis PO BOX 53, Bae Kudus, Indonesia","Rabbit is one of the animal groups that is included in herbivore livestock that has been known by people beside of goat, cow, buffalo etc. Most countries in this world have rabbit livestock because of the rabbit has a high body adaptation energy that can make them live in most of the world. Some of the advantages of rabbit breeding are from the side of economic profits. Because of that, this research presents an animation of the way to breed rabbit well and correctly, because rabbit breeding is one of the benificial activities or hobbies. Through media information which uses animation, the process of information delivery will be easier to understand rather than using oral or written from. Therefore, how to breed rabbit animation will make people know the way to breed rabbit well and correctly, that will serve as a three-dimensional form. © 2018 Universitas Ahmad Dahlan.","Animation herbivore; Breed; Rabbit",,"Listyorini, T.; Universitas Muria Kudus, Gondang Manis PO BOX 53, Indonesia; email: trilistyorini@umk.ac.id",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85046164053
"Halim A.H., Ismail I.","Tree physiology optimization in constrained optimization problem",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","2",,"876","882",,,10.12928/TELKOMNIKA.v16i2.9021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044373792&doi=10.12928%2fTELKOMNIKA.v16i2.9021&partnerID=40&md5=cf7a4af1ec34024c0e6bbe360c85fe23","Electrical and Electronic Engineering Department, Universiti Teknologi PETRONAS, Tronoh, Perak, Malaysia","Halim, A.H., Electrical and Electronic Engineering Department, Universiti Teknologi PETRONAS, Tronoh, Perak, Malaysia; Ismail, I., Electrical and Electronic Engineering Department, Universiti Teknologi PETRONAS, Tronoh, Perak, Malaysia","Metaheuristic algorithms are proven to be more effective on finding global optimum in numerous problems including the constrained optimization area. The algorithms have the capacity to prevail over many deficiencies in conventional algorithms. Besides of good quality of performance, some metaheuristic algorithms have limitations that may deteriorate by certain degree of difficulties especially in real-world application. Most of the real-world problems consist of constrained problem that is significantly important in modern engineering design and must be considered in order to perform any optimization task. Therefore, it is essential to compare the performance of the algorithm in diverse level of difficulties in constrained region. This paper introduces Tree Physiology Optimization (TPO) algorithm for solving constrained optimization problem and compares the performance with other existing metaheuristic algorithms. The constrained problems that are included in the comparison are three engineering design and nonlinear mathematic problems. The difficulties of each proposed problem are the function complexity, number of constraints, and dimension of variables. The performance measure of each algorithm is the statistical results of finding the global optimum and the convergence towards global optimum. © 2018 Universitas Ahmad Dahlan.","Constrained problem; Engineering design; Global optimum; Metaheuristic algorithm; Tree physiology optimization",,"Halim, A.H.; Electrical and Electronic Engineering Department, Universiti Teknologi PETRONASMalaysia; email: abdul_g01772@utp.edu.my",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85044373792
"Ahmad H., Othman N.A., Ramli M.S.","A solution to partial observability in extended kalman filter mobile robot navigation",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","2",,"900","907",,,10.12928/TELKOMNIKA.v16i2.9025,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044392195&doi=10.12928%2fTELKOMNIKA.v16i2.9025&partnerID=40&md5=3ccc21dd8e5552f28edff40eaccc2810","Faculty of Electrical and Electronics Engineering, Universiti Malaysia Pahang, Pekan Campus, Pekan, Pahang Darul Makmur, Malaysia","Ahmad, H., Faculty of Electrical and Electronics Engineering, Universiti Malaysia Pahang, Pekan Campus, Pekan, Pahang Darul Makmur, Malaysia; Othman, N.A., Faculty of Electrical and Electronics Engineering, Universiti Malaysia Pahang, Pekan Campus, Pekan, Pahang Darul Makmur, Malaysia; Ramli, M.S., Faculty of Electrical and Electronics Engineering, Universiti Malaysia Pahang, Pekan Campus, Pekan, Pahang Darul Makmur, Malaysia","Partial observability in EKF based mobile robot navigation is investigated in this paper to find a solution that can prevent erroneous estimation. By only considering certain landmarks in an environment, the computational cost in mobile robot can be reduced but with an increase of uncertainties to the system. This is known as suboptimal condition of the system. Fuzzy Logic technique is proposed to ensure that the estimation achieved desired performance even though some of the landmarks were excluded for references. The Fuzzy Logic is applied to the measurement innovation of Kalman Filter to correct the positions of both mobile robot and any observed landmarks during observations. The simulation results shown that the proposed method is capable to secure reliable estimation results even a number of landmarks being excluded from Kalman Filter update process in both Gaussian and non-Gaussian noise conditions. © 2018 Universitas Ahmad Dahlan.","Estimation; Fuzzy logic; Mobile robot; Navigation; Partial observability",,"Ahmad, H.; Faculty of Electrical and Electronics Engineering, Universiti Malaysia Pahang, Pekan CampusMalaysia; email: hamzah@ump.edu.my",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85044392195
"Francis A., Stanley U., Enehizena O.N., Olu V.M., Peter A., Nkordeh N.","Design and analysis of a broadcast network using logical segmentation",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","2",,"803","810",,,10.12928/TELKOMNIKA.v16i2.8461,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044344926&doi=10.12928%2fTELKOMNIKA.v16i2.8461&partnerID=40&md5=67580c3fd614a5d177f8230da8fdfaf0","Department of Electrical and Electronics Engineering, Ambrose Alli University, Nigeria; Department of Electrical and Information Engineering, Covenant University, Nigeria; Department of Electrical and Electronics Engineering, University of Benin, Nigeria","Francis, A., Department of Electrical and Electronics Engineering, Ambrose Alli University, Nigeria; Stanley, U., Department of Electrical and Information Engineering, Covenant University, Nigeria; Enehizena, O.N., Department of Electrical and Electronics Engineering, University of Benin, Nigeria; Olu, V.M., Department of Electrical and Information Engineering, Covenant University, Nigeria; Peter, A., Department of Electrical and Information Engineering, Covenant University, Nigeria; Nkordeh, N., Department of Electrical and Information Engineering, Covenant University, Nigeria","This study shows how the network performance of a flat switch network in the main library complex of Ambrose Ali University (AAU), Ekpoma can greatly be improved by logical segmentation. A survey of the flat switch network of the library complex was carried out to ascertain the physical and logical topology of the network and the number of hosts and network devices available. The kind of traffic transmitted over the network was also considered. Riverbed Modeler Academic Edition was used to simulate two replicas of the library network. One of the simulated networks was logically segmented by implementing Virtual Local Area Network (VLAN). Statistics like traffic dropped, traffic forwarded, traffic received, broadcast traffic dropped and traffic sent in bits/sec or packets/sec were collected from both simulations and the results were analyzed and compared. The results from the simulations showed that the application of VLAN immensely enhanced the network performance by about 75%(depending on the size of the network) because the logical segmentation increased the number of broadcast domain while reducing each of the broadcast size. This further implied that poor network design and large broadcast domain in a network, gravely affect the performance of a network. © 2018 Universitas Ahmad Dahlan.","Broadcast domain; Collision domain; Flat switch network; Improved performance; Logical segmentation",,"Stanley, U.; Department of Electrical and Information Engineering, Covenant UniversityNigeria; email: Stanley.uzairue@covenantuniversity.edu.ng",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85044344926
"Khalili A.A., Basri M.A.M., Razak M.A.A.","Finite element simulation of microfluidic biochip for high throughput hydrodynamic single cell trapping",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","2",,"883","888",,,10.12928/TELKOMNIKA.v16i2.9023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044390917&doi=10.12928%2fTELKOMNIKA.v16i2.9023&partnerID=40&md5=8b8373d55200a80a53b4fac3592f5aed","Faculty of Electrical Engineering, Universiti Teknologi Malaysia, UTM Johor Bahru, Johor, Malaysia","Khalili, A.A., Faculty of Electrical Engineering, Universiti Teknologi Malaysia, UTM Johor Bahru, Johor, Malaysia; Basri, M.A.M., Faculty of Electrical Engineering, Universiti Teknologi Malaysia, UTM Johor Bahru, Johor, Malaysia; Razak, M.A.A., Faculty of Electrical Engineering, Universiti Teknologi Malaysia, UTM Johor Bahru, Johor, Malaysia","In this paper, a microfluidic device capable of trapping a single cell in a high throughput manner and at high trapping efficiency is designed simply through a concept of hydrodynamic manipulation. The microfluidic device is designed with a series of trap and bypass microchannel structures for trapping individual cells without the need for microwell, robotic equipment, external electric force or surface modification. In order to investigate the single cell trapping efficiency, a finite element model of the proposed design has been developed using ABAQUS-FEA software. Based on the simulation, the geometrical parameters and fluid velocity which affect the single cell trapping are extensively optimized. After optimization of the trap and bypass microchannel structures via simulations, a single cell can be trapped at a desired location efficiently. © 2018 Universitas Ahmad Dahlan.","Finite element simulation; High throughput; Hydrodynamic; Microfluidic; Single cell trapping",,"Basri, M.A.M.; Faculty of Electrical Engineering, Universiti Teknologi Malaysia, UTM Johor BahruMalaysia; email: ariffanan@fke.utm.my",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85044390917
"Yesmaya V., Ronald A., Hidajat M.","Property exhibition decision support system based on web application",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","2",,"766","770",,,10.12928/TELKOMNIKA.v16i2.7601,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044356715&doi=10.12928%2fTELKOMNIKA.v16i2.7601&partnerID=40&md5=6ad36c0fd5629dbc2146f9e9b58bb5b8","Computer Science Department, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia","Yesmaya, V., Computer Science Department, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Ronald, A., Computer Science Department, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Hidajat, M., Computer Science Department, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia","Complexity in finding property on property exhibition which consider many related constraints is quite high. Customers need to spend much time to analyse the right property to buy depends on their constraints whether salary, distance to work, facility, etc. According to the problem, this research will collect the information from customer on property exhibition to find out the constraint. Also, this research will focus on design and analyses the decision support system for property exhibition. Software development life cycle that will be used is scrum which is divided into several processes like backlog, sprints, scrum meetings, and demos. The result of this research is a web application that help customer to collect the information of the property according to their constraints. © 2018 Universitas Ahmad Dahlan.","Decision support system; Property exhibition; Scrum",,"Ronald, A.; Computer Science Department, School of Computer Science, Bina Nusantara UniversityIndonesia; email: aadam@binus.edu",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85044356715
"Inamdar J.J., Annapoorani K.I.","Review of methods employed to identify flicker producing sources",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","2",,"465","480",,,10.12928/TELKOMNIKA.v16i2.6678,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044371774&doi=10.12928%2fTELKOMNIKA.v16i2.6678&partnerID=40&md5=ce3749bfe478a5bdca080dfbbd556195","School of Electrical Engineering, VIT University, Chennai, India","Inamdar, J.J., School of Electrical Engineering, VIT University, Chennai, India; Annapoorani, K.I., School of Electrical Engineering, VIT University, Chennai, India","Because of increasing requirements of the present consumers and industrial units utilizing sensitive loads, there is need of good power quality in order to retain the power quality standards. Nowadays the study of the voltage flicker is becoming essential part of power quality studies. The flicker is typically the effect of a rapidly changing load which is large with respect to the short circuit ability of an electrical supply system. The inferior effects of voltage flicker include malfunctioning of power electronic equipment. Also it causes annoying effects to human. Hence detection of the flicker source is an essential step in the power quality assessment process. This paper delivers a review about methods used to identify flicker producing loads in accordance with IEC 61000-4-15. Once the report related to the disturbance place is known, an investigation and corrective action can be accordingly carried out. Also a method based upon Discrete Wavelet Transform and Artificial Neural Network is proposed to detect initial instance of occurrence of flicker. © 2018 Universitas Ahmad Dahlan.","Artificial neural network; Discrete wavelet transform; Flicker source; Power quality; Voltage flicker",,"Inamdar, J.J.; School of Electrical Engineering, VIT UniversityIndia; email: Jeevan.jagannath2016@vitstudent.ac.in",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85044371774
"Dermawan B.A., Herdiyeni Y., Prasetyo L.B., Siswoyo A.","Predicting the spread of acacia nilotica using Maximum Entropy modeling",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","16","2",,"703","712",,,10.12928/TELKOMNIKA.v16i2.6894,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044356960&doi=10.12928%2fTELKOMNIKA.v16i2.6894&partnerID=40&md5=d361c675f3492060906a1e50d8fc37a1","Fakultas Ilmu Komputer, Universitas Singaperbangsa Karawang, Jl. H.S. Ronggowaluyo Telukjambe Timur, Karawang, Indonesia; Department of Computer Science, Bogor Agricultural University, Kampus Dramaga, Jl. Raya Dramaga, Bogor, Indonesia; Department of Forest Resources Conservation and Ecotourism, Bogor Agricultural University, Kampus Dramaga, Jl. Raya Dramaga, Bogor, Indonesia; The Ministry of Environment and Forestry, Bromo Tengger Semeru National Park, East Java, Indonesia","Dermawan, B.A., Fakultas Ilmu Komputer, Universitas Singaperbangsa Karawang, Jl. H.S. Ronggowaluyo Telukjambe Timur, Karawang, Indonesia; Herdiyeni, Y., Department of Computer Science, Bogor Agricultural University, Kampus Dramaga, Jl. Raya Dramaga, Bogor, Indonesia; Prasetyo, L.B., Department of Forest Resources Conservation and Ecotourism, Bogor Agricultural University, Kampus Dramaga, Jl. Raya Dramaga, Bogor, Indonesia; Siswoyo, A., The Ministry of Environment and Forestry, Bromo Tengger Semeru National Park, East Java, Indonesia","Acacia nilotica planted in Baluran National Park aims to prevent the spread of fire from savanna to teak forest became developed into invasive and led to a decrease in the quality and quantity of savannas. Therefore, it is required to predict the spread of A. nilotica to minimize the impacts of invasion on savanna area. The study aims to identify environmental factors which affect spread of A. nilotica. Furthermore, the spread of A. nilotica is predicted using Maximum Entropy. Maximum Entropy is efficient model since it uses presence-only data while the most of other models use presence and absence data. The experimental results reveal six environmental factors, including elevation, slope, NDMI, NDVI, distance from the river, and temperature were identified affecting the spread of A. nilotica. The most dominant environmental factors were elevation and temperature with 40% and 39.6% contributions. Maximum Entropy performed well in predicting the spread of A. nilotica, it was indicated by AUC value of 0.938. © 2018 Universitas Ahmad Dahlan.","Acacia nilotica; Baluran national park; Invasive species; Maximum entropy; Prediction",,"Dermawan, B.A.; Fakultas Ilmu Komputer, Universitas Singaperbangsa Karawang, Jl. H.S. Ronggowaluyo Telukjambe Timur, Indonesia; email: budi.arif@staff.unsika.ac.id",,"Universitas Ahmad Dahlan",16936930,,,,"English","Telkomnika Telecomun. Compt. Electr. Control",Article,,Scopus,2-s2.0-85044356960
