Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Anaya J.","OncoLnc: Linking TCGA survival data to mRNAs, miRNAs, and lncRNAs",2016,"PeerJ Computer Science","2016","6", e67,"","",,44,10.7717/peerj-cs.67,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026652296&doi=10.7717%2fpeerj-cs.67&partnerID=40&md5=15c0638bc3484758dfb59da6a00195dd","Omnesres.com, Charlottesville, United States","Anaya, J., Omnesres.com, Charlottesville, United States","OncoLnc is a tool for interactively exploring survival correlations, and for downloading clinical data coupled to expression data for mRNAs, miRNAs, or long noncoding RNAs (lncRNAs). OncoLnc contains survival data for 8,647 patients from 21 cancer studies performed by The Cancer Genome Atlas (TCGA), along with RNA-SEQ expression for mRNAs and miRNAs from TCGA, and lncRNA expression from MiTranscriptome beta. Storing this data gives users the ability to separate patients by gene expression, and then create publication-quality Kaplan-Meier plots or download the data for further analyses. OncoLnc also stores precomputed survival analyses, allowing users to quickly explore survival correlations for up to 21 cancers in a single click. This resource allows researchers studying a specific gene to quickly investigate if it may have a role in cancer, and the supporting data allows researchers studying a specific cancer to identify the mRNAs, miRNAs, and lncRNAs most correlated with survival, and researchers looking for a novel lncRNA involved with cancer lists of potential candidates. © 2016 Anaya.","Cancer; Cox regression; Database; Kaplan-Meier; LncRNA; MiRNA; MRNA; RNA-SEQ; TCGA",,"Anaya, J.; Omnesres.comUnited States; email: omnesresnetwork@gmail.com",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-85026652296
"Salvatier J., Wiecki T.V., Fonnesbeck C.","Probabilistic programming in Python using PyMC3",2016,"PeerJ Computer Science","2016","4", e55,"","",,36,10.7717/peerj-cs.55,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990201464&doi=10.7717%2fpeerj-cs.55&partnerID=40&md5=422eb6c9d9421af8f87a8e457f78ac05","AI Impacts, Berkeley, CA, United States; Quantopian Inc, Boston, MA, United States; Department of Biostatistics, Vanderbilt University, Nashville, TN, United States","Salvatier, J., AI Impacts, Berkeley, CA, United States; Wiecki, T.V., Quantopian Inc, Boston, MA, United States; Fonnesbeck, C., Department of Biostatistics, Vanderbilt University, Nashville, TN, United States","Probabilistic programming allows for automatic Bayesian inference on user-defined probabilistic models. Recent advances in Markov chain Monte Carlo (MCMC) sampling allow inference on increasingly complex models. This class of MCMC, known as Hamiltonian Monte Carlo, requires gradient information which is often not readily available. PyMC3 is a new open source probabilistic programming framework written in Python that uses Theano to compute gradients via automatic differentiation as well as compile probabilistic programs on-the-fly to C for increased speed. Contrary to other probabilistic programming languages, PyMC3 allows model specification directly in Python code. The lack of a domain specific language allows for great flexibility and direct interaction with the model. This paper is a tutorial-style introduction to this software package. © 2016 Salvatier et al.","Bayesian statistic; Markov chain Monte Carlo; Probabilistic Programming; Python; Statistical modeling",,"Wiecki, T.V.; Quantopian IncUnited States; email: thomas.wiecki@gmail.com",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-84990201464
"Aletras N., Tsarapatsanis D., Preoţiuc-Pietro D., Lampos V.","Predicting judicial decisions of the European court of human rights: A natural language processing perspective",2016,"PeerJ Computer Science","2016","10", e93,"","",,10,10.7717/peerj-cs.93,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016265063&doi=10.7717%2fpeerj-cs.93&partnerID=40&md5=94f2c93d7f506c6b991dbc7ba2db1551","Amazon.com, Cambridge, United Kingdom; Department of Computer Science, University College London, University of London, London, United Kingdom; School of Law, University of Sheffield, Sheffield, United Kingdom; Positive Psychology Center, University of Pennsylvania, Philadelphia, United States; Computer and Information Science, University of Pennsylvania, Philadelphia, United States","Aletras, N., Amazon.com, Cambridge, United Kingdom, Department of Computer Science, University College London, University of London, London, United Kingdom; Tsarapatsanis, D., School of Law, University of Sheffield, Sheffield, United Kingdom; Preoţiuc-Pietro, D., Positive Psychology Center, University of Pennsylvania, Philadelphia, United States, Computer and Information Science, University of Pennsylvania, Philadelphia, United States; Lampos, V., Department of Computer Science, University College London, University of London, London, United Kingdom","Recent advances in Natural Language Processing and Machine Learning provide us with the tools to build predictive models that can be used to unveil patterns driving judicial decisions. This can be useful, for both lawyers and judges, as an assisting tool to rapidly identify cases and extract patterns which lead to certain decisions. This paper presents the first systematic study on predicting the outcome of cases tried by the European Court of Human Rights based solely on textual content. We formulate a binary classification task where the input of our classifiers is the textual content extracted from a case and the target output is the actual judgment as to whether there has been a violation of an article of the convention of human rights. Textual information is represented using contiguous word sequences, i.e., N-grams, and topics. Our models can predict the court's decisions with a strong accuracy (79% on average). Our empirical analysis indicates that the formal facts of a case are the most important predictive factor. This is consistent with the theory of legal realism suggesting that judicial decision-making is significantly affected by the stimulus of the facts. We also observe that the topical content of a case is another important feature in this classification task and explore this relationship further by conducting a qualitative analysis. © 2016 Aletras et al.","Artificial intelligence; Judicial decisions; Legal science; Machine learning; Natural language processing; Text mining",,"Aletras, N.; Amazon.comUnited Kingdom; email: nikos.aletras@gmail.com",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-85016265063
"Xiao B., Huang C., Imel Z.E., Atkins D.C., Georgiou P., Narayanan S.S.","A technology prototype system for rating therapist empathy from audio recordings in addiction counseling",2016,"PeerJ Computer Science","2016","4", e59,"","",,8,10.7717/peerj-cs.59,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994306642&doi=10.7717%2fpeerj-cs.59&partnerID=40&md5=f8c89c6c268a06378cfb39ad9243c60e","Department of Electrical Engineering, University of Southern California, Los Angeles, CA, United States; Department of Educational Psychology, University of Utah, Salt Lake City, UT, United States; Department of Psychiatry and Behavioral Sciences, University of Washington, Seattle, WA, United States","Xiao, B., Department of Electrical Engineering, University of Southern California, Los Angeles, CA, United States; Huang, C., Department of Electrical Engineering, University of Southern California, Los Angeles, CA, United States; Imel, Z.E., Department of Educational Psychology, University of Utah, Salt Lake City, UT, United States; Atkins, D.C., Department of Psychiatry and Behavioral Sciences, University of Washington, Seattle, WA, United States; Georgiou, P., Department of Electrical Engineering, University of Southern California, Los Angeles, CA, United States; Narayanan, S.S., Department of Electrical Engineering, University of Southern California, Los Angeles, CA, United States","Scaling up psychotherapy services such as for addiction counseling is a critical societal need. One challenge is ensuring quality of therapy, due to the heavy cost of manual observational assessment. This work proposes a speech technology-based system to automate the assessment of therapist empathy-a key therapy quality index- from audio recordings of the psychotherapy interactions. We designed a speech processing system that includes voice activity detection and diarization modules, and an automatic speech recognizer plus a speaker role matching module to extract the therapist's language cues. We employed Maximum Entropy models, Maximum Likelihood language models, and a Lattice Rescoring method to characterize high vs. low empathic language. We estimated therapy-session level empathy codes using utterance level evidence obtained from these models. Our experiments showed that the fully automated system achieved a correlation of 0.643 between expert annotated empathy codes and machine-derived estimations, and an accuracy of 81% in classifying high vs. low empathy, in comparison to a 0.721 correlation and 86% accuracy in the oracle setting using manual transcripts. The results show that the system provides useful information that can contribute to automatic quality insurance and therapist training. © 2016 Xiao et al.","Addiction counseling; Automatic speech recognition; Empathy modeling; Language modeling; Prototype system; Speech processing",,"Xiao, B.; Department of Electrical Engineering, University of Southern CaliforniaUnited States; email: xiaobothu@gmail.com",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-84994306642
"Nugent T., Plachouras V., Leidner J.L.","Computational drug repositioning based on side-effects mined fromsocial media",2016,"PeerJ Computer Science","2016","2", e46,"","",,8,10.7717/peerj-cs.46,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987658065&doi=10.7717%2fpeerj-cs.46&partnerID=40&md5=843b05430e22b69b7a36183d80e3c75a","Thomson Reuters, Corporate Research and Development, London, United Kingdom","Nugent, T., Thomson Reuters, Corporate Research and Development, London, United Kingdom; Plachouras, V., Thomson Reuters, Corporate Research and Development, London, United Kingdom; Leidner, J.L., Thomson Reuters, Corporate Research and Development, London, United Kingdom","Drug repositioning methods attempt to identify novel therapeutic indications for marketed drugs. Strategies include the use of side-effects to assign new disease indications, based on the premise that both therapeutic effects and side-effects are measurable physiological changes resulting from drug intervention. Drugs with similar side-effects might share a common mechanism of action linking side-effects with disease treatment, or may serve as a treatment by ""rescuing"" a disease phenotype on the basis of their side-effects; therefore it may be possible to infer new indications based on the similarity of side-effect profiles.While existing methods leverage side-effect data from clinical studies and drug labels, evidence suggests this information is often incomplete due to under-reporting. Here, we describe a novel computational method that uses side-effect data mined from social media to generate a sparse undirected graphical model using inverse covariance estimation with l1-norm regularization. Results show that known indications are well recovered while current trial indications can also be identified, suggesting that sparse graphical models generated using side-effect data mined from social media may be useful for computational drug repositioning. © 2016 Nugent et al.","Adverse drug reaction; Drug repositioning; Drug repurposing; Graphical lasso; Graphical model; Inverse covariance estimation; Side-effect; Social media",,"Nugent, T.; Thomson Reuters, Corporate Research and DevelopmentUnited Kingdom; email: timnugent@gmail.com",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-84987658065
"Jonnalagedda N., Gauch S., Labille K., Alfarhood S.","Incorporating popularity in a personalized news recommender system",2016,"PeerJ Computer Science","2016","6", e63,"","",,8,10.7717/peerj-cs.63,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018404653&doi=10.7717%2fpeerj-cs.63&partnerID=40&md5=053b42774ae2b4a54b33b55748ea980b","Computer Science and Computer Engineering, University of, Fayetteville, AR, United States","Jonnalagedda, N., Computer Science and Computer Engineering, University of, Fayetteville, AR, United States; Gauch, S., Computer Science and Computer Engineering, University of, Fayetteville, AR, United States; Labille, K., Computer Science and Computer Engineering, University of, Fayetteville, AR, United States; Alfarhood, S., Computer Science and Computer Engineering, University of, Fayetteville, AR, United States","Online news reading has become a widely popular way to read news articles from news sources around the globe. With the enormous amount of news articles available, users are easily overwhelmed by information of little interest to them. News recommender systems help users manage this flood by recommending articles based on user interests rather than presenting articles in order of their occurrence. We present our research on developing personalized news recommendation system with the help of a popular micro-blogging service, ""Twitter."" News articles are ranked based on the popularity of the article identified from Twitter's public timeline. In addition, users construct profiles based on their interests and news articles are also ranked based on their match to the user profile. By integrating these two approaches, we present a hybrid news recommendation model that recommends interesting news articles to the user based on their popularity as well as their relevance to the user profile. © 2016 Jonnalagedda et al.","News recommender systems; Personalized news recommendation; Twitter; User profile",,"Gauch, S.; Computer Science and Computer Engineering, University ofUnited States; email: sgauch@uark.edu",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-85018404653
"Kuhrmann M., Diebold P., Münch J.","Software process improvement: A systematic mapping study on the state of the art",2016,"PeerJ Computer Science","2016","5", e62,"","",,8,10.7717/peerj-cs.62,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998806453&doi=10.7717%2fpeerj-cs.62&partnerID=40&md5=5395d441eb55903154d669666c9459ab","Maersk Mc-Kinney Moller Institute-Software Engineering, University of Southern Denmark, Odense, Denmark; Process Engineering, Fraunhofer Institute for Experimental Software Engineering, Kaiserslautern, Germany; Herman Hollerith Center, Böblingen and Reutlingen University, Böblingen, Germany; Department of Computer Science, University of Helsinki, Helsinki, Finland","Kuhrmann, M., Maersk Mc-Kinney Moller Institute-Software Engineering, University of Southern Denmark, Odense, Denmark; Diebold, P., Process Engineering, Fraunhofer Institute for Experimental Software Engineering, Kaiserslautern, Germany; Münch, J., Herman Hollerith Center, Böblingen and Reutlingen University, Böblingen, Germany, Department of Computer Science, University of Helsinki, Helsinki, Finland","Software process improvement (SPI) has been around for decades: frameworks are proposed, success factors are studied, and experiences have been reported. However, the sheer mass of concepts, approaches, and standards published over the years overwhelms practitioners as well as researchers. What is out there? Are there new trends and emerging approaches? What are open issues? Still, we struggle to answer these questions about the current state of SPI and related research. In this article, we present results from an updated systematic mapping study to shed light on the field of SPI, to develop a big picture of the state of the art, and to draw conclusions for future research directions. An analysis of 769 publications draws a big picture of SPI-related research of the past quarter-century. Our study shows a high number of solution proposals, experience reports, and secondary studies, but only few theories and models on SPI in general. In particular, standard SPI models likeCMMIand ISO/IEC 15,504 are analyzed, enhanced, and evaluated for applicability in practice, but these standards are also critically discussed, e.g., from the perspective of SPI in small-to-medium-sized companies, which leads to new specialized frameworks. New and specialized frameworks account for the majority of the contributions found (approx. 38%). Furthermore, we find a growing interest in success factors (approx. 16%) to aid companies in conducting SPI and in adapting agile principles and practices for SPI (approx. 10%). Beyond these specific topics, the study results also show an increasing interest into secondary studies with the purpose of aggregating and structuring SPI-related knowledge. Finally, the present study helps directing future research by identifying under-researched topics awaiting further investigation. © 2016 Kuhrmann et al.","Software process; Software process improvement; SPI; Systematic mapping study",,"Kuhrmann, M.; Maersk Mc-Kinney Moller Institute-Software Engineering, University of Southern DenmarkDenmark; email: kuhrmann@mmmi.sdu.dk",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-84998806453
"Destefanis G., Ortu M., Counsell S., Swift S., Marchesi M., Tonelli R.","Software development: Do good manners matter?",2016,"PeerJ Computer Science","2016","7", e73,"","",,7,10.7717/peerj-cs.73,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030094455&doi=10.7717%2fpeerj-cs.73&partnerID=40&md5=5bf5b5125738aa53723210b535599673","Department of Computer Science, Brunel University, London, United Kingdom; Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy","Destefanis, G., Department of Computer Science, Brunel University, London, United Kingdom; Ortu, M., Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; Counsell, S., Department of Computer Science, Brunel University, London, United Kingdom; Swift, S., Department of Computer Science, Brunel University, London, United Kingdom; Marchesi, M., Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; Tonelli, R., Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy","A successful software project is the result of a complex process involving, above all, people. Developers are the key factors for the success of a software development process, not merely as executors of tasks, but as protagonists and core of the whole development process. This paper investigates social aspects among developers working on software projects developed with the support of Agile tools. We studied 22 opensource software projects developed using the Agile board of the JIRA repository. All comments committed by developers involved in the projects were analyzed and we explored whether the politeness of comments affected the number of developers involved and the time required to fix any given issue. Our results showed that the level of politeness in the communication process among developers does have an effect on the time required to fix issues and, in the majority of the analysed projects, it had a positive correlation with attractiveness of the project to both active and potential developers. The more polite developers were, the less time it took to fix an issue. © 2016 Destefanis et al.","Issue fixing time; Mining software repositories; Politeness; Social and human aspects; Software development",,"Destefanis, G.; Department of Computer Science, Brunel UniversityUnited Kingdom; email: giuseppe.destefanis@brunel.ac.uk",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-85030094455
"Izquierdo J.L.C., Cabot J.","Collaboro: A collaborative (meta) modeling tool",2016,"PeerJ Computer Science","2016","10", e84,"","",,6,10.7717/peerj-cs.84,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030100587&doi=10.7717%2fpeerj-cs.84&partnerID=40&md5=9dd8fb7648a4191e9680665af3430acf","Universitat Oberta de Catalunya (UOC), Barcelona, Spain; Institució Catalana de Recerca i Estudis Avançats (ICREA), Barcelona, Spain","Izquierdo, J.L.C., Universitat Oberta de Catalunya (UOC), Barcelona, Spain; Cabot, J., Universitat Oberta de Catalunya (UOC), Barcelona, Spain, Institució Catalana de Recerca i Estudis Avançats (ICREA), Barcelona, Spain","Software development is becoming more and more collaborative, emphasizing the role of end-users in the development process to make sure the final product will satisfy customer needs. This is especially relevant when developing Domain-Specific Modeling Languages (DSMLs), which are modeling languages specifically designed to carry out the tasks of a particular domain.While end-users are actually the experts of the domain for which a DSML is developed, their participation in the DSML specification process is still rather limited nowadays. In this paper, we propose a more community-aware language development process by enabling the active participation of all community members (both developers and end-users) from the very beginning. Our proposal, called Collaboro, is based on a DSML itself enabling the representation of change proposals during the language design and the discussion (and trace back) of possible solutions, comments and decisions arisen during the collaboration. Collaboro also incorporates a metric-based recommender system to help community members to define high-quality notations for the DSMLs.We also show how Collaboro can be used at the model-level to facilitate the collaborative specification of software models. Tool support is available both as an Eclipse plug-in a web-based solution. © 2016 Cánovas Izquierdo and Cabot.","Collaborative development; Domain-specific languages; Model-driven development",,"Izquierdo, J.L.C.; Universitat Oberta de Catalunya (UOC)Spain; email: jcanovasi@uoc.edu",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-85030100587
"Gacesa R., Barlow D.J., Long P.F.","Machine learning can differentiate venom toxins from other proteins having non-toxic physiological functions",2016,"PeerJ Computer Science","2016","10", e90,"","",,6,10.7717/peerj-cs.90,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024095945&doi=10.7717%2fpeerj-cs.90&partnerID=40&md5=23c7f2483fe3f60f761836f65562ad1f","Institute of Pharmaceutical Science, King's College London, London, United Kingdom; Department of Chemistry, King's College London, London, United Kingdom; Brazil Institute, King's College London, London, United Kingdom; Faculdade de Ciências Farmacêuticas, Universidade de São Paulo, São Paulo, Brazil","Gacesa, R., Institute of Pharmaceutical Science, King's College London, London, United Kingdom; Barlow, D.J., Institute of Pharmaceutical Science, King's College London, London, United Kingdom; Long, P.F., Institute of Pharmaceutical Science, King's College London, London, United Kingdom, Department of Chemistry, King's College London, London, United Kingdom, Brazil Institute, King's College London, London, United Kingdom, Faculdade de Ciências Farmacêuticas, Universidade de São Paulo, São Paulo, Brazil","Ascribing function to sequence in the absence of biological data is an ongoing challenge in bioinformatics. Differentiating the toxins of venomous animals from homologues having other physiological functions is particularly problematic as there are no universally accepted methods by which to attribute toxin function using sequence data alone. Bioinformatics tools that do exist are difficult to implement for researchers with little bioinformatics training. Here we announce a machine learning tool called ToxClassifier' that enables simple and consistent discrimination of toxins from non-toxin sequences with >99% accuracy and compare it to commonly used toxin annotation methods. ToxClassifer' also reports the best-hit annotation allowing placement of a toxin into the most appropriate toxin protein family, or relates it to anon-toxic protein having the closest homology, giving enhanced curation of existing biological databases and new venomics projects. ToxClassifier' is available for free, either to download (https://github.com/rgacesa/ToxClassifier) or to use on a web-based server (http://bioserv7.bioinfo.pbf.hr/ToxClassifier/). © 2016 Gacesa et al.","Animal venom; Automatic annotation; Biological function; Functional prediction; Protein sequences",,"Long, P.F.; Institute of Pharmaceutical Science, King's College LondonUnited Kingdom; email: paul.long@kcl.ac.uk",,"PeerJ Inc.",23765992,,,,"English","PeerJ Comput. Sci.",Article,Open Access,Scopus,2-s2.0-85024095945
