Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Giyasih S.R.","Regional management of areas with indications of urban sprawl in the surrounding areas of universitas muhammadiyah, Yogyakarta, Indonesia",2017,"Indonesian Journal of Geography","49","1",,"35","41",,,10.22146/ijg.2323,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029905719&doi=10.22146%2fijg.2323&partnerID=40&md5=fe065c76bc358908108a849dd7b4444b","Faculty of Geography, Universitas Gadjah Mada, Indonesia","Giyasih, S.R., Faculty of Geography, Universitas Gadjah Mada, Indonesia","This research was conducted in the surrounding areas of a university, Universitas Muhammadiyah Yogyakarta (UMY), which is administratively located in Tamantiro Village, Kasihan District, Bantul Regency, the Special Region of Yogyakarta, Indonesia. It aims to formulate the regional management of the surrounding areas as they have been presenting the indications of urban sprawl. It used a qualitative method with research data obtained from in-depth interviews to 22 informants including governmental agencies (7 informants), academics (6 informants), entrepreneurs (5 informants), and villagers (4 informants). The informants were sampled using purposive sampling method. Data processing and analysis were conducted using qualitative descriptive method, i.e. (1) data reduction, (2) data presentation, and (3) data conclusion. Data validation and reliability tests were conducted using source triangulation method. The results show that the stakeholders proposed various management strategies to improve the positive impacts and, at the same time, reduce the negative impacts of urban sprawl. These management strategies include (1) consistency in implementing spatial planning regulation, (2) spatial synergism in development planning, implementation, and monitoring, (3) assistance to the native people and the migrants, and (4) integration between the university and the village. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Areas around UMY; Indications of urban sprawl; Outskirts; Regional management",,"Giyasih, S.R.; Faculty of Geography, Universitas Gadjah MadaIndonesia; email: rum_ugm@yahoo.co.uk",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029905719
"Widiati R., Umami N., Gunawan T.","Land capability for cattle-farming in the merapi volcanic slope of sleman regency yogyakarta",2017,"Indonesian Journal of Geography","49","1",,"80","88",,,10.22146/ijg.17299,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029909613&doi=10.22146%2fijg.17299&partnerID=40&md5=b0f9ffc5755e262789863af045ac1369","Department of Livestock Socio E Conomics, Faculty of Animal Science, Universitas Gadjah Mada, Indonesia; Forage and Pasture Science Laboratory, Faculty of Animal Science, Universitas Gadjah Mada, Indonesia; Department of Geographic Information Sciences, Faculty of Geography, Universitas Gadjah Mada, Indonesia","Widiati, R., Department of Livestock Socio E Conomics, Faculty of Animal Science, Universitas Gadjah Mada, Indonesia; Umami, N., Forage and Pasture Science Laboratory, Faculty of Animal Science, Universitas Gadjah Mada, Indonesia; Gunawan, T., Department of Geographic Information Sciences, Faculty of Geography, Universitas Gadjah Mada, Indonesia","This research carried out to study the cattle farming development based on the land capability in rural areas of the Merapi Volcanic slope of Sleman Regency Yogyakarta after eruption 2010. Samples taken were Glagaharjo village (Cangkringan Sub-District) as impacted area and Wonokerto village (Turi Sub-District) as unimpacted area. Survey method used were to land evaluation analysis supported by Geographic Information System (GIS) software. Materials used were Indonesian topographical basemap (RBI) in 1:25000 scale, IKONOS image [2015], land use map, landform map, and slope map as supple- ments. Potential analysis of land capability for cattle forage using the production unit in kg of TDN per AU. The result showed that based on the land capability class map, both villages had potential of carrying capacity for forage feed that could still be increased as much as 1,661.32 AU in Glagaharjo and 1,948.13 AU in Wonokerto. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Carrying capacity; Cattle farming; Forages; Land capability",,"Widiati, R.; Department of Livestock Socio E Conomics, Faculty of Animal Science, Universitas Gadjah MadaIndonesia; email: rini_w@ugm.ac.id",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029909613
"Wibowo A., Semedi J.M., Salleh K.O.","Spatial temporal analysis of urban heat hazard on education Area (University of Indonesia)",2017,"Indonesian Journal of Geography","49","1",,"1","10",,,10.22146/ijg.11821,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029904164&doi=10.22146%2fijg.11821&partnerID=40&md5=99eef9916b66d1dcd0dc6fadcadab8a9","Department of Geography, Faculty of Mathematics and Natural Sciences, Universitas Indonesia, Indonesia; Department of Geography, Faculty of Arts and Social Sciences, University of Malaya, Malaysia","Wibowo, A., Department of Geography, Faculty of Mathematics and Natural Sciences, Universitas Indonesia, Indonesia, Department of Geography, Faculty of Arts and Social Sciences, University of Malaya, Malaysia; Semedi, J.M., Department of Geography, Faculty of Mathematics and Natural Sciences, Universitas Indonesia, Indonesia; Salleh, K.O., Department of Geography, Faculty of Arts and Social Sciences, University of Malaya, Malaysia","As education area, campus or university is full with various activities which have an impact on the existence of land-use or land-cover. The variation of activities dynamically change the shape of land-use or land-cover within the campus area, thus also create variations in Land Surface Temperature (LST). The LST are impacting the coziness of human activity especially when reaches more than 30 oC. This study used the term Urban Heat Signature (UHS) to explain LST in different land-use or land-cover types. The objective of this study is to examine UHS as an Urban Heat Hazard (UHH) based on Universal Temperature Climate Index (UTCI) and Effective Temperature Index (ETI) in University of Indonesia. Thermal bands of Landsat 8 images (the acquisition year 2013-2015) were used to create LST model. A ground data known as Air Surface Temperature (AST) were used to validate the model. The result showed an increased level of maximum temperature during September-October since 2013 until 2014. The maximum temperature was reduced in October 2014, however it increased again in August 2015. The UTCI showed ""moderate"" and ""strong heat stress"", while EFI showed ""uncomfortable"" and ""very uncomfortable"" categories during that period. This research concluded that build up area in UI Campus highest temperature on UI campus based on UHS. Range UHS in Campus UI on 2013 (21.8-31.1oC), 2014 (25.0-36.2oC) and 2015 (24.9-38.2oC). This maximum UHS on September (2014 and 2015) put on levelling UTCI included range temperature 32-35oC, with an explanation of sensation temperature is warm and sensation of comfort is Uncomfortable, Psychology with Increasing Stress Case by Sweating and Blood Flow and Health category is Cardiovascular Embarrassment. This UHS occurs in September will give impact on psychology and health, that's become the UHH of the living on education area. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Education area; Spatial temporal analysis; Urban heat hazard",,"Wibowo, A.; Department of Geography, Faculty of Mathematics and Natural Sciences, Universitas IndonesiaIndonesia; email: adi.w@sci.ui.ac.id",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029904164
"Yandri P.","The political geography of voters and political participation: Evidence from local election in Suburban Indonesia",2017,"Indonesian Journal of Geography","49","1",,"57","64",,,10.22146/ijg.11315,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029901937&doi=10.22146%2fijg.11315&partnerID=40&md5=79759143cb0371426502cc3d2d8d6e05","STIE Ahmad Dahlan Jakarta, Regional and Rural Development Planning Sciences, Bogor Agricultural University (IPB), Indonesia","Yandri, P., STIE Ahmad Dahlan Jakarta, Regional and Rural Development Planning Sciences, Bogor Agricultural University (IPB), Indonesia","The praxis of political issue including voter turnout and political participation does not exist in a vacuum. Therefore, geographical and spatial issues are frequently engaged and even embedded into it. Thus, this article is written with one purpose: To investigate the spatial relationship of voter turnout and their political participation. As stated earlier, the complexity of the political analysis based on geography will take us on a multidimensional approach that includes social, cultural and economy. However, this article starts the discussion from spatial analysis by using a map that illustrates the administrative boundaries of a region, then determining whether one region is adjacent to another. In this case, Moran's I is used to determine the spatial autocorrelation of voter turnout and political participation. The result indicates that the voter turnout and political participation in one region is adjacent to each other. Possible reasons for the result are discussed in this article. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Adjacent; Democracy; Gentrification; Neighboring; South tangerang municipality; Spatial autocorrelation",,"Yandri, P.; STIE Ahmad Dahlan Jakarta, Regional and Rural Development Planning Sciences, Bogor Agricultural University (IPB)Indonesia; email: p.yandri@gmail.com",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029901937
"Allah A.A.D., Hashim N.B.M.D., Awang A.B.","Discovering Trends of Agricultural Drought in Tihama Plain, Yemen : A Preliminary Assessment",2017,"Indonesian Journal of Geography","49","1",,"17","27",,,10.22146/ijg.12089,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029903814&doi=10.22146%2fijg.12089&partnerID=40&md5=86a54f784f5dcd8a634cedb6307c8123","Faculty of Social Sciences and Humanities, School for Social, Development and Environmental Studies, Universiti Kebangsaan Malaysia, Malaysia","Allah, A.A.D., Faculty of Social Sciences and Humanities, School for Social, Development and Environmental Studies, Universiti Kebangsaan Malaysia, Malaysia; Hashim, N.B.M.D., Faculty of Social Sciences and Humanities, School for Social, Development and Environmental Studies, Universiti Kebangsaan Malaysia, Malaysia; Awang, A.B., Faculty of Social Sciences and Humanities, School for Social, Development and Environmental Studies, Universiti Kebangsaan Malaysia, Malaysia","Agricultural drought is characterized by lack of sufficient moisture in the surface soil layers to support crop and forage growth. Indicators of agricultural drought often are precipitation, temperature and soil moisture to measure soil moisture and crop yield. This study aims to assess spatio-Temporal variations of drought in the Tihama Plain, which is one of the most important agricultural areas in Yemen, which contributes about 42% of the total agricultural production in the country. In recent years, the Tihama Plain faced changes in the rainy season, which reflect negatively on agriculture production and water security in the area. In this study, the Standardized Precipitation Index (SPI) was used to temporally evaluate the situation of drought, also used Geographic Information Systems (GIS) in order to show the spatial variability distribution of drought in the study area. The analysis results of SPI-6 showed that the year of 1984, 1991, 2002, 2003, 2004, 2005, 2006 and 2008 were the most affected by drought during the study period of 30 years (1980-2010). It was also shown that 1991 was the worst years of drought experienced by the study area. Based on the fact that the study area is the most important agricultural areas in Yemen, it is recommended to study the drought and its impact on agricultural crops. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Agricultural drought; Drought indicators; GIS; Spatial distribution; Standardized precipitation index (SPI); Tihama plain",,"Awang, A.B.; Faculty of Social Sciences and Humanities, School for Social, Development and Environmental Studies, Universiti Kebangsaan MalaysiaMalaysia; email: azwan@ukm.edu.my",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029903814
"Sujarwoto","Geography and communal conflict in Indonesia",2017,"Indonesian Journal of Geography","49","1",,"89","96",,,10.22146/ijg.26889,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029901061&doi=10.22146%2fijg.26889&partnerID=40&md5=df082fb519a35304fdf43787d1d78b7c","Department of Public Administration, Brawijaya University, Malang East Java, Indonesia","Sujarwoto, Department of Public Administration, Brawijaya University, Malang East Java, Indonesia","The determinants of communal conflicts in Indonesia have been widely documented. However, most of them ignore geographical aspects of communal conflicts. This paper examines geographical determinants of communal conflicts in Indonesia. Data comes from the 2008 Village Potential Census (Podes) and official statistics which consist of communal conflict information across all Indonesia's districts (N districts = 465). Results from spatial dependent model show that communal conflict to be spatially dependent through latent determinants, meaning that communal conflict clusters because of clustering of latent determinants within district. Rather than religious and ethnic heterogeneity, communal conflict is positively associated with poverty, economic inequality, elite capture, and weak capacity of districts to manage fiscal resources. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Communal conflict; Contagious; Latent issue; Spatial dependent",,"Sujarwoto; Department of Public Administration, Brawijaya UniversityIndonesia; email: sujarwoto@ub.ac.id",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029901061
"Rifardi, Badrun Y.","Sandbar formation in the mesjid river estuary, rupat strait, riau province, Indonesia",2017,"Indonesian Journal of Geography","49","1",,"65","72",,,10.22146/ijg.12536,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029896473&doi=10.22146%2fijg.12536&partnerID=40&md5=92e8d483f5f93f405dd0016657164adc","Department of Marine Sciences, Faculty of Fisheries and Marine Sciences, Riau University, Pekanbaru, Riau, Indonesia; Department of Biology, Faculty of Mathemathic and Natural Sciences, Muhammadyah University, Pekanbaru, Riau, Indonesia","Rifardi, Department of Marine Sciences, Faculty of Fisheries and Marine Sciences, Riau University, Pekanbaru, Riau, Indonesia, Department of Biology, Faculty of Mathemathic and Natural Sciences, Muhammadyah University, Pekanbaru, Riau, Indonesia; Badrun, Y., Department of Marine Sciences, Faculty of Fisheries and Marine Sciences, Riau University, Pekanbaru, Riau, Indonesia, Department of Biology, Faculty of Mathemathic and Natural Sciences, Muhammadyah University, Pekanbaru, Riau, Indonesia","At the aim to clarify the relationship between the sandbar formation and lithogeneous sediment discharges, the sedimentological aspects of the Mesjid River Estuary are revealed by various analysis. The samples of bottom surface sediments and the suspended sediment were collected at 50 stations in the estuary using grab and van dorm samplers. Oceanographic observation were also carried out at the stations. The Mesjid River Estuary receives lithogeneous sediments mainly from the Mesjid River's drainage areas which play important role on the formation of sandbar which is shown by a belt-like area (0.5-1.0 m depth) in the area off the river mouth. The sandbar might become a sandbank in 20 to 40 years later. High suspended sediment up to 354.61 mg/l indicates the river mouth receives lithogeneous sediments. Total of 926 ton/day of the sediments supplied by the river are deposited 0.024 m/year into the area. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Bottom character; Bottom surface sediments; Sediment discharge; Sedimentation rates; Suspended sediment",,"Rifardi; Department of Marine Sciences, Faculty of Fisheries and Marine Sciences, Riau UniversityIndonesia; email: fardi64@yahoo.co.id",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029896473
"Oluwasegun A.H.","GIS Analysis of flood vulnerable area in Benin-owena river basin Nigeria",2017,"Indonesian Journal of Geography","49","1",,"27","33",,,10.22146/ijg.12777,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029897871&doi=10.22146%2fijg.12777&partnerID=40&md5=ccd95b1cf55c3709a4efe160e0cb5cbd","Faculty of Social and Management Sciences, Olabisi Onabanjo University, Ago-Iwpye, Ogun State, Nigeria","Oluwasegun, A.H., Faculty of Social and Management Sciences, Olabisi Onabanjo University, Ago-Iwpye, Ogun State, Nigeria","The frequency and intensity of flood disasters have become serious issues in the national development process of Nigeria as flood disasters have caused serious environmental damages, loss of human lives and other heavy economic losses; putting the issue of disaster reduction and risk management higher on the policy agenda of affected governments, multilateral agencies and NGOs. The starting point of concrete flood disaster mitigation efforts is to identify the areas with higher risk levels and fashion out appropriate preventive and response mechanisms. This research paper explored the potentials of Geographic Information System (GIS) in data capture, processing and analysis in identifying flood-prone areas for the purpose of planning for disaster mitigation and preparedness, using Benin-Owena river basin of Nigeria as a unit of analysis. The data used in this study were obtained from FORMECU and were entered and use to develop a flood risk information system. Analysis and capability of the developed system was illustrated and shown. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Flood; Geographical information system (GIS) risk; River -basin; Vulnerability",,"Oluwasegun, A.H.; Faculty of Social and Management Sciences, Olabisi Onabanjo UniversityNigeria; email: adebayooluwasegunhezekiah@gmail.com",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029897871
"Fagbohunka A.","Infrastructural facility and the students' academic performance - A critique",2017,"Indonesian Journal of Geography","49","1",,"11","16",,,10.22146/ijg.12437,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029905308&doi=10.22146%2fijg.12437&partnerID=40&md5=7ad6694194e6f6e94cf68365c854cff8","Geography and Planning Sciences Department, Adekunle Ajasin University, Akungba Akoko, Ondo State, Nigeria","Fagbohunka, A., Geography and Planning Sciences Department, Adekunle Ajasin University, Akungba Akoko, Ondo State, Nigeria","The paper underscores the infrastructural facility and the student's academic performance in Adekunle Ajasin University, Akungba Akoko, Ondo State, Nigeria. Thirty questionnaires were administered through a systematic sampling technique in each of the six faculties making a total of 180 questionnaires. The paper has found out a positive relationship between the student's academic performance, power supply and health facilities. However, the internet facilities and transportation facilities were not adequate, whereas water supply was adequate. A test of the impact of infrastructural facility on the student's academic performance, using a Chi Square statistical technique revealed a significant value of 177.1 at 0.05 % level. The paper recommends that the existing facilities should be upgraded and significantly improved by the government; urgent attention should be given to the development of the internet facilities and transportation sector of the University. Also, private partnership should be encouraged in the infrastructural development of the University. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Academic performance; Infrastructural facility; Students; University",,"Fagbohunka, A.; Geography and Planning Sciences Department, Adekunle Ajasin UniversityNigeria; email: adejompofagbohunka@gmail.com",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029905308
"Hariyanto T., Krisna T.C., Khomsin, Pribadi C.B., Anwar N.","Development of total suspended sediment model using landsat-8 OLI and In-situ data at the surabaya coast, East Java, Indonesia",2017,"Indonesian Journal of Geography","49","1",,"73","79",,,10.22146/ijg.12010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029904954&doi=10.22146%2fijg.12010&partnerID=40&md5=adaf10e5cc77905906aebf06718fb280","Institut Teknologi Sepuluh Nopember Surabaya, Faculty of Civil Engineering and Planning, Indonesia","Hariyanto, T., Institut Teknologi Sepuluh Nopember Surabaya, Faculty of Civil Engineering and Planning, Indonesia; Krisna, T.C., Institut Teknologi Sepuluh Nopember Surabaya, Faculty of Civil Engineering and Planning, Indonesia; Khomsin, Institut Teknologi Sepuluh Nopember Surabaya, Faculty of Civil Engineering and Planning, Indonesia; Pribadi, C.B., Institut Teknologi Sepuluh Nopember Surabaya, Faculty of Civil Engineering and Planning, Indonesia; Anwar, N., Institut Teknologi Sepuluh Nopember Surabaya, Faculty of Civil Engineering and Planning, Indonesia","The decrease of coastal-water quality in the Surabaya coastal region can be recognized from the conceentration of Total Suspended Sediment(TSS ) . As a result we need a system for monitoring sediment concentration in the coastal region of Surabaya which regularly measures TSS. The principle to model and monitor TSSconcentration using remote sensing methods is by the integration of Landsat-8OLI satellites image processing using some ofTSS-models then those are analyzed for looking its suitability with TSS value direcly measured in the field ( in-situ measurement). The TSS value modeled from all algorithms validated usingcorrelation analysis and linear regression . The result shows that TSS model with the highest correlation value is TSS algorithm by Budiman (2004)with r value 0.991. Hence this algorithm can be used to investigate TSS-distribution which represent the coastal water quality of Surabaya with TSS value between 75 mg/L to 125 mg/L. © 2017 Faculty of Geography UGM and The Indonesian Geographers Association.","Algorithm; Coastal water; Landsat 8 OLI; Surabaya; Total suspended sediment (TSS)",,"Hariyanto, T.; Institut Teknologi Sepuluh Nopember Surabaya, Faculty of Civil Engineering and PlanningIndonesia; email: tgh_hary@yahoo.com",,"Gadjah Mada University",00249521,,,,"English","Indones. J. Geogr.",Article,,Scopus,2-s2.0-85029904954
