Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Ajijah N., Hartati R.S., Rubiyo, Sukma D., Sudarsono","Effective cacao somatic embryo regeneration on kinetin supplemented DKW medium and somaclonal variation assessment using SSRs markers",2016,"Agrivita","38","1",,"80","92",,8,10.17503/agrivita.v38i1.619,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954544314&doi=10.17503%2fagrivita.v38i1.619&partnerID=40&md5=e3885391ac477a7b3033cc6931fead99","PMB Lab., Department of Agronomy and Horticulture, Bogor Agricultural University Jl, Meranti Dramaga Campus Bogor 16680, West Java, Indonesia; Indonesian Industrial and Beverages Crops Research Institute Jl, Raya Sukabumi km 2 Parungkuda Sukabumi, West Java, Indonesia; Indonesian Centre for Estate Crop Research and Development Jl, Tentara Pelajar No. 1 Cimanggu Bogor, West Java, Indonesia; Assessment Institute for Agricultural Technology Bangka Belitung Jl, Mentok km 4, Pangkal Pinang, Indonesia","Ajijah, N., PMB Lab., Department of Agronomy and Horticulture, Bogor Agricultural University Jl, Meranti Dramaga Campus Bogor 16680, West Java, Indonesia, Indonesian Industrial and Beverages Crops Research Institute Jl, Raya Sukabumi km 2 Parungkuda Sukabumi, West Java, Indonesia; Hartati, R.S., Indonesian Centre for Estate Crop Research and Development Jl, Tentara Pelajar No. 1 Cimanggu Bogor, West Java, Indonesia; Rubiyo, Assessment Institute for Agricultural Technology Bangka Belitung Jl, Mentok km 4, Pangkal Pinang, Indonesia; Sukma, D., PMB Lab., Department of Agronomy and Horticulture, Bogor Agricultural University Jl, Meranti Dramaga Campus Bogor 16680, West Java, Indonesia; Sudarsono, PMB Lab., Department of Agronomy and Horticulture, Bogor Agricultural University Jl, Meranti Dramaga Campus Bogor 16680, West Java, Indonesia","This study aimed to develop the cacao (Theobroma cacao L.) in vitro regeneration system through somatic embryogenesis on kinetin supplemented DKW medium and somaclonal variation assessment using SSR markers. Callus were initiated from basal petal and staminoid explants cultured on callus induction (CI) medium contained DKW basalt salts and kinetin:2,4-D ratios of 1:15.5, 1:7.8 or 1:3.9 and then transferred onto secondary callus growth (SCG) medium contained WPM basalt salts and kinetin:2,4-D ratios of 1:7.8 or 1:3.9. The calli were then subsequently transferred onto embryo development medium contained DKW basal salts with or without the addition of amino acids, adenine or activated charcoal for the formation of somatic embryos. Nine cacao genotypes were tested for their ability to develop somatic embryos. Results of this study indicated DKW medium supplemented with Kinetin in combination with 2,4-D effectively induced cacao somatic embryogenesis. The highest somatic embryos formation was abtained from kinetin:2,4-D ratio of 1:3.9 and 1:7.8 in CI and SCG medium respectively. Cacao genotype responses were highly explant type dependent. The developed method resulted in a high percentage of somatic embryo formation (5.6-66.7%), germination (50%) and plantlet conversion (65%) and a medium percentage of somaclonal variations based on SSRs marker analysis. © 2016, Agriculture Faculty Brawijaya University. All rights reserved.","Explants; Genotypes; Kinetin:2 4-D; SSRs; Theobroma cacao L",,"Ajijah, N.; PMB Lab., Department of Agronomy and Horticulture, Bogor Agricultural University Jl, Meranti Dramaga Campus Bogor 16680, Indonesia; email: jijah_ridwan@yahoo.co.id",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-84954544314
"Sabullah M.K., Rahman M.F., Ahmad S.A., Sulaiman M.R., Shukor M.S., Shamaan N.A., Shukor M.Y.","Isolation and characterization of a molybdenum-reducing and glyphosate-degrading klebsiella oxytoca strain saw-5 in soils from sarawak",2016,"Agrivita","38","1",,"1","13",,5,10.17503/agrivita.v38i1.654,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954547798&doi=10.17503%2fagrivita.v38i1.654&partnerID=40&md5=0eafe8f9e8232eb146850feb38d68126","Universiti Malaysia Sabah, Kota Kinabalu, Sabah, Malaysia; Universiti Putra Malaysia UPM, Serdang, Selangor, Malaysia; School of Food Science and Nutrition, Universiti Malaysia Sabah, Malaysia; Snoc International Sdn Bhd, Lot 343, Jalan 7/16 Kawasan Perindustrian Nilai 7, Inland PortNegeri Sembilan, Malaysia; Islamic Science University of Malaysia, Kuala Lumpur, Malaysia","Sabullah, M.K., Universiti Malaysia Sabah, Kota Kinabalu, Sabah, Malaysia, Universiti Putra Malaysia UPM, Serdang, Selangor, Malaysia; Rahman, M.F., Universiti Putra Malaysia UPM, Serdang, Selangor, Malaysia; Ahmad, S.A., Universiti Putra Malaysia UPM, Serdang, Selangor, Malaysia; Sulaiman, M.R., School of Food Science and Nutrition, Universiti Malaysia Sabah, Malaysia; Shukor, M.S., Snoc International Sdn Bhd, Lot 343, Jalan 7/16 Kawasan Perindustrian Nilai 7, Inland PortNegeri Sembilan, Malaysia; Shamaan, N.A., Islamic Science University of Malaysia, Kuala Lumpur, Malaysia; Shukor, M.Y., Universiti Putra Malaysia UPM, Serdang, Selangor, Malaysia","Bioremediation of pollutants including heavy metals and xenobiotics is an economic and environmentally friendly process. A novel molyb-denum-reducing bacterium with the ability to utilize the pesticide glyphosate as a carbon source is reported. The characterization works were carried out utilizing bacterial resting cells in a microplate format. The bacterium reduces molybdate to Mo-blue optimally between pH 6.3 and 6.8 and at 34oC. Glucose was the best elec-tron donor for supporting molybdate reduction followed by lactose, maltose, melibiose, raffinose, d-mannitol, d-xylose, l-rhamnose, l-arabinose, dulcitol, myo-inositol and glycerol in descending order. Other requirements include a phosphate concentration at 5.0 mM and a molybdate concentration between 20 and 30 mM. The molybdenum blue exhibited an absorption spec-trum resembling a reduced phospho-molybdate. Molybdenum reduction was inhibited by mercury, silver, cadmium and copper at 2 ppm by 45.5, 26.0, 18.5 and 16.3%, respectively. Biochemical analysis identified the bacterium as Klebsiella oxytoca strain Saw-5. To conclude, the capacity of this bacterium to reduce molybdenum into a less toxic form and to grow on glyphosate is novel and makes the bacterium an important instrument for bioremediation of these pollutants. © 2016, Agriculture Faculty Brawijaya University. All rights reserved.","Bioreduction; Glyphosate; Klebsiella oxytoca; Molybdenum blue; Molybdenum-reducing bacterium",,"Sabullah, M.K.; Universiti Malaysia SabahMalaysia; email: ejanz_sart2@yahoo.com",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-84954547798
"Lestari S.R., Djati M.S., Rudijanto A., Fatchiyah","Production and potency of local rambutan at East Java as a candidate phytopharmaca",2013,"Agrivita","35","3",,"270","276",,5,10.17503/Agrivita-2013-35-3-p270-276,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908554522&doi=10.17503%2fAgrivita-2013-35-3-p270-276&partnerID=40&md5=25d659c664a83e25a74f6d92072c8393","Biology Department, State University of Malang, Jl. Semarang 5 Malang, Indonesia; Biology Department, Brawijaya University, Jl. Semarang 5 MalangEast Java, Indonesia; Endocrinology Department, Brawijaya University, Jl. Veteran MalangEast Java, Indonesia","Lestari, S.R., Biology Department, State University of Malang, Jl. Semarang 5 Malang, Indonesia; Djati, M.S., Biology Department, Brawijaya University, Jl. Semarang 5 MalangEast Java, Indonesia; Rudijanto, A., Endocrinology Department, Brawijaya University, Jl. Veteran MalangEast Java, Indonesia; Fatchiyah, Biology Department, Brawijaya University, Jl. Semarang 5 MalangEast Java, Indonesia","Rambutan is a tropical fruit that grow well in Indonesia and the peel is considered as waste. Many researchers’ showed that rambutan peel contains polyphenol that could be expected to avoid obesity. The objective of this study was to explore the increasing production of local rambutan and to identify the promising phyto-chemical compounds on its peel as phyto-pharmaca candidate against obesity. Survey was conducted on the production of rambutan, potential plantation area, and marketing. Sample of rambutan peel collected from the sub-district Kanigoro, Blitar. Phytochemical compounds were analyzed using TLC, HPLC and FT-IR. Bioassay analysis used obesity rat models. The survey result showed a mean of rambutan production increased 2.6% in 2007-2012. Average production of rambutan 70-120 kg/tree. Vegetative multi-plication usually done to maintenance of rambutan quality. The main compound of Rambutan peel extract (RPE) is flavonoids, tannins, ellagic acid and the major functional group of CH3, aliphatic CH3, and C=O. These compounds have a potential activity against obesity. RPE 30mg/kgBW dose was significantly inhibit the weight gain of obese rats and reducing the adipocyte size (p&lt;0.05). © 2013, Universitas Brawijaya.","Blitar; Local rambutan; Obesity; Potency; Production","Nephelium lappaceum; Rattus","Fatchiyah; Biology Department, State University of Malang, Jl. Semarang 5 Malang, Indonesia; email: fatchiyah@ub.ac.id",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-84908554522
"Abdallah E.H., Musa Y., Mustafa M., Sjahril R., Riadi M.","Comparison between hydro and osmo-priming to determine period needed for priming indicator and its effect on germination percentage of aerobic rice cultivars (Oryza Sativa L.)",2016,"Agrivita","38","3",,"222","230",,4,10.17503/agrivita.v38i3.886,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982893511&doi=10.17503%2fagrivita.v38i3.886&partnerID=40&md5=d9a60be1b32799a03ffda21087a6bb07","Department of Agronomy, Faculty of Agriculture, University of Omdurman Islamic, Sudan; Department of Agronomy, Faculty of Agriculture, Hasanuddin University, Makassar, Indonesia; Soil Science Department, Faculty of Agriculture, Hasanuddin University, Makassar, Indonesia","Abdallah, E.H., Department of Agronomy, Faculty of Agriculture, University of Omdurman Islamic, Sudan; Musa, Y., Department of Agronomy, Faculty of Agriculture, Hasanuddin University, Makassar, Indonesia; Mustafa, M., Soil Science Department, Faculty of Agriculture, Hasanuddin University, Makassar, Indonesia; Sjahril, R., Department of Agronomy, Faculty of Agriculture, Hasanuddin University, Makassar, Indonesia; Riadi, M., Department of Agronomy, Faculty of Agriculture, Hasanuddin University, Makassar, Indonesia","This study compared hydro and osmo-priming to determine period needed for seed priming indicator to emerge and its effect against water stress on germination percentage of some aerobic rice cultivars (Oryza sativa L.). Experiments were arranged in completely randomized design using three aerobic rice cultivars and PEG with four replications. Rice varieties (Inpago-8, IR64 and Situ Bagendit) were combined with four different PEG concentrations. Drought stress was simulated by different PEG solutions and with distilled water as control. Results indicated differentiations between hydro and on priming indicator time, while varietal difference was not significant. Fastest recorded time was obtained between 30-36 hours under hydro priming, PEG 100 g L-1 (63-69 hours) and 83-93 hours in PEG 200 g L-1 solution. Thus showing increased solution concentration led to prolonged priming indicator time. The highest germination percentage was obtained in Situ Bagendit treated with PEG 200 mg L-1 (90.25%) and the lowest obtained in Inpago-8 (75.75%) under control. It is better to use osmo-priming (PEG 200 g L-1) for teaching aerobic rice seed against drought stress. More research is needed to confirm benefits of seed treatment with PEG to cultivated crops under water stress, drought and salinity conditions. © 2016, Agriculture Faculty Brawijaya University. All rights reserved.","Aerobic rice; Germination; Hydro and osmo-priming; Priming indicator time",,"Sjahril, R.; Department of Agronomy, Faculty of Agriculture, Hasanuddin UniversityIndonesia; email: rinaldi-sjahril@agri.unhas.ac.id",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-84982893511
"Widiatmaka, Ambarwulan W., Sudarsono","Spatial multi-criteria decision making for delineating agricultural land in Jakarta metropolitan area’s hinterland: Case study of Bogor regency, West Java",2016,"Agrivita","38","2",,"105","115",,4,10.17503/agrivita.v38i2.746,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973575217&doi=10.17503%2fagrivita.v38i2.746&partnerID=40&md5=7865161d64f376f30704cc6743a6c556","Department of Soil Science and Land Resources, Bogor Agricultural University, Indonesia; Geospatial Information Agency, Indonesia","Widiatmaka, Department of Soil Science and Land Resources, Bogor Agricultural University, Indonesia; Ambarwulan, W., Geospatial Information Agency, Indonesia; Sudarsono, Department of Soil Science and Land Resources, Bogor Agricultural University, Indonesia","The hinterland of Jakarta has experienced high pressure in its land utilization due to Jakarta’s rapid development. The objective of this research was to analyse the suitable land available for agriculture. The research was conducted in Bogor, a hinterland regency of Jakarta. The methodology used includes two steps of analysis, which are land suitability and land availability analysis. Land suitability for agriculture was analysed using multi-criteria decision making method. Seven (7) criteria were included, which consist of soil class, land capability class, slope, elevation, slope aspect, land use/land cover and distance to roads. The criteria were weighted using the Analytical Hierarchy Process. Combining criteria weights and sub-criteria scores, an overlay model in Geographic Information System was applied. The result from land suitability analysis was used as a feed for determining land availability, considering the forest area status and land allocation in the official spatial land use plan. The results indicate that an area amounting to 87.5% of Bogor Regency is suitable for agriculture. Land which is suitable and available for agriculture is 16.7% of the regency’s area. Considering available land which is currently in use, the area that can be allocated for the expansion of agriculture is 3.3%. © 2016, Agriculture Faculty Brawijaya University. All rights reserved.","Land availability; Land capability; Land suitability; Land use planning; Soil order",,"Widiatmaka; Department of Soil Science and Land Resources, Bogor Agricultural UniversityIndonesia; email: widiatmaka@ipb.ac.id",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-84973575217
"Jainol J.E., Gansau J.A.","Embryogenic callus induction from leaf tip explants and protocorm-like body formation and shoot proliferation of Dimorphorchis lowii: Borneon endemic orchid",2017,"Agrivita","39","1",,"1","10",,3,10.17503/agrivita.v39i1.895,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007462337&doi=10.17503%2fagrivita.v39i1.895&partnerID=40&md5=ce0ce147fc54b33e2cde1f36de6cd2f1","Tissue Culture Laboratory, Faculty of Science and Natural Resources, University Malaysia Sabah, Kota Kinabalu, Sabah, Malaysia","Jainol, J.E., Tissue Culture Laboratory, Faculty of Science and Natural Resources, University Malaysia Sabah, Kota Kinabalu, Sabah, Malaysia; Gansau, J.A., Tissue Culture Laboratory, Faculty of Science and Natural Resources, University Malaysia Sabah, Kota Kinabalu, Sabah, Malaysia","Dimorphorchis lowii is a rare epiphytic orchid endemic to Borneo and very popular due to its ornamental value. For the purpose of mass propagation, procedures for in vitro propagation through callus were developed. The objectives of this study were to determine the effects of plant growth regulators (PGRs) on callus induction from leaf tip explant and the effects of complex additives on PLBs formation and shoot develop-ment. The best combination of PGR was 3.0 mg L-1 Thidiazuron (TDZ) with 0.046 mg L-1 NAA supplemented in half-strength medium (1/2 MS) (Murashige &amp; Skoog, 1962). The percentage of survival and callus formation obtained were 96.0 % ± 19.8 and 52.0 % ± 16.5 respectively. Maximum shoot proliferation from PLBs was observed in Knudson C (KC) medium enriched with 15 % (v/v) coconut water. In this treatment, 10.2 ± 6.2 shoots were produced from one callus explant. Shoots were rooted on KC medium containing 15 % (v/v) coconut water and transferred in a medium mixture containing sphagnum moss, charcoal, brick and coco peat with the ratio of 1:1:1:1. After 2 months being acclimatized in the glasshouse, 78 % of plantlets survived. Histology observations showed that embryogenic callus derived from leaf tip explants might originate from epidermis and mesophyll cells and was capable of developing into complete plantlets. © 2017, Agriculture Faculty Brawijaya University. All rights reserved.","Callus; In vitro; Orchid; Protocorm like-bodies (PLBs)",,"Gansau, J.A.; Tissue Culture Laboratory, Faculty of Science and Natural Resources, University Malaysia SabahMalaysia; email: azlanajg@ums.edu.my",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-85007462337
"Tarno H., Septia E.D., Aini L.Q.","Microbial community associated with ambrosia beetle, Euplatypus parallelus on sonokembang, Pterocarpus indicus in Malang",2016,"Agrivita","38","3",,"312","320",,3,10.17503/agrivita.v38i3.628,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982966128&doi=10.17503%2fagrivita.v38i3.628&partnerID=40&md5=a59c9809d67ade05ba32c4a3a4d54165","Plant Pest and Disease Department, Faculty of Agriculture, University of Brawijaya, Jl. Veteran, Malang, East Java, Indonesia; Faculty of Agriculture, University of Muhammadiyah Malang, Jl. Raya Tlogomas 246, Malang, East Java, Indonesia","Tarno, H., Plant Pest and Disease Department, Faculty of Agriculture, University of Brawijaya, Jl. Veteran, Malang, East Java, Indonesia; Septia, E.D., Faculty of Agriculture, University of Muhammadiyah Malang, Jl. Raya Tlogomas 246, Malang, East Java, Indonesia; Aini, L.Q., Plant Pest and Disease Department, Faculty of Agriculture, University of Brawijaya, Jl. Veteran, Malang, East Java, Indonesia","Recently, most of sonokembang, Pterocarpus indicus trees are dying in Malang. In 2012, the death rate of trees reached ca. 11%. In addition, death of trees spread to other regencies in East Java. Euplatypus parallelus is a specific species of ambrosia beetles that were the causal agents to the dying and wilting of sonokembang trees in Malang. Wilting is caused mainly by the pathogenic fungi carried by ambrosia beetles. To confirm the microbial communities related to E. parallelus that attack sonokembang, E. parallelus and some attacked trees were collected in Malang city. Isolation and identification of these species were conducted at the Laboratory of Mycology, Faculty of Agriculture, University of Brawijaya and Laboratory of Molecular Biology, Islamic State University, Malang. Results showed that there were nine microbes including five genera of fungi, two genera of yeasts and one genus of bacterium were identified. The microbial communities that were found namely Aspergillus spp., Penicillium spp., Trichoderma spp., Fusarium spp., Acremonium spp., Gliocladium spp. (fungi), Streptomyces spp. (bacteria), Saccharomyces spp., and Candida spp. (yeast). © 2016, Agriculture Faculty Brawijaya University. All rights reserved.","Ambrosia beetle; Euplatypus parallelus; Microbial community; Pterocarpus indicus",,"Tarno, H.; Plant Pest and Disease Department, Faculty of Agriculture, University of Brawijaya, Jl. Veteran, Indonesia; email: h_gustarno@ub.ac.id",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-84982966128
"Tarno H., Qi H., Yamasaki M., Kobayashi M., Futai K.","The behavioral role of males of platypus quercivorus murayama in their subsocial colonies",2016,"Agrivita","38","1",,"47","54",,3,10.17503/agrivita.v38i1.778,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954547591&doi=10.17503%2fagrivita.v38i1.778&partnerID=40&md5=cf817157741abcea1f9ed45b28a2df40","Department of Plant Protection, University of Brawijaya, Malang, Indonesia; Laboratory of Terrestrial Microbial Ecology, Division of Environmental Science and Technology, Graduate School of Agriculture, Kyoto University, Japan; Laboratory of Forest Biology, Division of Forest and Biomaterials Science, Graduate School of Agriculture, Kyoto University, Japan; Graduate School of Life and Environmental Science, Kyoto Prefectural University, Japan","Tarno, H., Department of Plant Protection, University of Brawijaya, Malang, Indonesia; Qi, H., Laboratory of Terrestrial Microbial Ecology, Division of Environmental Science and Technology, Graduate School of Agriculture, Kyoto University, Japan; Yamasaki, M., Laboratory of Forest Biology, Division of Forest and Biomaterials Science, Graduate School of Agriculture, Kyoto University, Japan; Kobayashi, M., Graduate School of Life and Environmental Science, Kyoto Prefectural University, Japan; Futai, K., Laboratory of Terrestrial Microbial Ecology, Division of Environmental Science and Technology, Graduate School of Agriculture, Kyoto University, Japan","The behavioral role of male ambrosia beetles,Platypus quercivorus,in subsocial colonies both field and laboratory has been investigated. The entrance tunnels, where the male beetles are staying, are short, with a mean 4 cm long and mostly incline upwards from outside to inside at an angle of around 20º. To examine the role of males, another male or female (as the invader) was placed into a tunnel. When inhabitant males stayed in the tunnel they quickly expelled the invaders, regardless of their sex of the invaders. However, when an inhabitant male was removed an introduced male or female could freely enter the tunnel and was accepted by the inhabitant female. Upon replacing an inhabitant male with an invader male or female and then putting another invader male or female into the tunnel, no rejection occurred, suggesting that invader males and females play no role in guarding the tunnel. Based on the results an inhabitant male seems to have three responsibilities; protection of the gallery from invaders, protection of progeny (larva) from falling down and also keeping the gallery clean from frass. The 20º angle of the entrance tunnel tends to aid both in gallery protection and in frass clearing. © 2016, Agriculture Faculty Brawijaya University. All rights reserved.","Antrance tunnel; Gallery protection; Inhabitant male; Platypus quercivorus; Sociality",,"Tarno, H.; Department of Plant Protection, University of BrawijayaIndonesia; email: h_gustarno@ub.ac.id",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-84954547591
"Gaswanto R., Syukur M., Purwoko B.S., Hidayat S.H.","Induced mutation by gamma rays irradiation to increase chilli resistance to begomovirus",2016,"Agrivita","38","1",,"24","32",,3,10.17503/agrivita.v38i1.581,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954535829&doi=10.17503%2fagrivita.v38i1.581&partnerID=40&md5=47d5889fff178e054b44364b39f43f35","Indonesian Vegetable Research Institute (IVEGRI) Jl, Tangkuban Perahu No. 517, Lembang, West Java, Indonesia; Department of Agronomy and Horticulture, Bogor Agricultural University, Campus IPB Darmaga, Jalan Meranti, Bogor, West Java, Indonesia; Department of Plant Protection, Bogor Agricultural University, Campus IPB Darmaga, Jalan Kamper, Bogor, West Java, Indonesia","Gaswanto, R., Indonesian Vegetable Research Institute (IVEGRI) Jl, Tangkuban Perahu No. 517, Lembang, West Java, Indonesia; Syukur, M., Department of Agronomy and Horticulture, Bogor Agricultural University, Campus IPB Darmaga, Jalan Meranti, Bogor, West Java, Indonesia; Purwoko, B.S., Department of Agronomy and Horticulture, Bogor Agricultural University, Campus IPB Darmaga, Jalan Meranti, Bogor, West Java, Indonesia; Hidayat, S.H., Department of Plant Protection, Bogor Agricultural University, Campus IPB Darmaga, Jalan Kamper, Bogor, West Java, Indonesia","Begomovirusinfection has a significant impact of lowering chilli yield in Indonesia. A constraint of narrow genetic variability of chilli in Indonesia has made the mutation breeding program as a solution worth-pursuing in increasing the genetic variability. The objective of this study was to determine the LD50point for each of the five irradiated chilli genotypes and the optimum dose of gamma irradiation in inducing chilli resistance toBegomovirusand other improved agronomical traits. The study was conducted in the Indonesian Vegetable Research Institute (IVEGRI) at Cikole-Lembang, elevation 1,200 m above sea level, from March to December 2013. Split plot design was used with genotype as main factor (Kencana, Lembang-1, SSP, Tanjung 2, Seloka) and irra-diation dosage as sub-factor (0, 200, 400, 600, 800 Gy). All treatments were replicated three times. The results showed that LD50points of the five irradiated chilli genotypes were in the range of 422.64-629.68 Gy. There were some chilli genotypes in the population of M2that had high coefficient variance genetic (CVG) and broad sense heritability (h2bs) value for disease incu-bation time. This could be used as resistance parameter toBegomovirusand improvement parameter of several agronomical traits. © 2016, Agriculture Faculty Brawijaya University. All rights reserved.","Begomovirus; Capsicum annuum; Gamma rays; Induced mutation",,"Syukur, M.; Department of Agronomy and Horticulture, Bogor Agricultural University, Campus IPB Darmaga, Jalan Meranti, Indonesia; email: muhsyukur@yahoo.com",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-84954535829
"Suranto, Tedianto T., Purwanto E., Setyono P., Mahadjoeno E.","The relationship between altitudes and the contents of protein, carbohydrates, lipids of pumpkin (Cucurbita moschata)",2015,"Agrivita","37","1",,"59","66",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923677669&partnerID=40&md5=732285d11859a023e610b30b5bb56b39","Department of Biology, University of Sebelas Maret Jl, Ir. Sutami No.36 A, Surakarta, Central Java, Indonesia; Department of Bioscience, University of Sebelas Maret Jl, Ir. Sutami No.36 A, Surakarta, Central Java, Indonesia","Suranto, Department of Biology, University of Sebelas Maret Jl, Ir. Sutami No.36 A, Surakarta, Central Java, Indonesia, Department of Bioscience, University of Sebelas Maret Jl, Ir. Sutami No.36 A, Surakarta, Central Java, Indonesia; Tedianto, T., Department of Biology, University of Sebelas Maret Jl, Ir. Sutami No.36 A, Surakarta, Central Java, Indonesia; Purwanto, E., Department of Bioscience, University of Sebelas Maret Jl, Ir. Sutami No.36 A, Surakarta, Central Java, Indonesia; Setyono, P., Department of Biology, University of Sebelas Maret Jl, Ir. Sutami No.36 A, Surakarta, Central Java, Indonesia; Mahadjoeno, E., Department of Bioscience, University of Sebelas Maret Jl, Ir. Sutami No.36 A, Surakarta, Central Java, Indonesia","Cucurbita moschata or pumpkin can be used as an alternative food mainly due to its carbohydrate content, and it is very easy to grow in many different habitats. The objective of this research was to evaluate the biochemical contents of C. moschata based on the altitudes and also to examine whether any relationship between the environmental conditions and protein, carbohydrate and lipid contents. Proximate analysis was used for statistical consideration of the results obtained. Chemical analysis was conducted by using mesocarp of pumpkin after cleaning, peeling and removing seeds from the center of fruits. Kjedahl and soxhlet methods were used to look at the content of protein and lipid respectively. Meanwhile, the method of difference was employed to measure the percentage of carbohydrates. Although there was no significant relationship between the biochemical contents and the environmental conditions, it was recorded that plants grown at higher altitudes with high soil pH and air temperature tended to have higher protein, carbohydrate and lipid contents, compared to that of higher soil moisture. This results showed that the highest biochemical contents of protein, carbohydrate and lipid of two varieties C. moschata were evident at the lowest altitude. © 2015, Agriculture Faculty Brawijaya University. All rights reserved.","Altitudes; Carbohydrates; Cucurbita moschata; Lipids; Protein",,"Suranto; Department of Biology, University of Sebelas Maret Jl, Ir. Sutami No.36 A, Indonesia",,"Agriculture Faculty Brawijaya University",01260537,,,,"English","Agrivita",Article,,Scopus,2-s2.0-84923677669
